Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: cj0519stt16.csv,,,,,,,,,,,,,,,,,
"Table 16. Rated capacity and percent of capacity occupied in local jails, by state, 2013 and 2019",,,,,,,,,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2013 and 2019",,,,,,,,,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 16. Rated capacity and percent of capacity occupied in local jails, by state, 2013 and 2019",,,,,,,,,,,,,,,,,
,,2013/b,,,,,,2019/c,,,,,,"Percent change, 2013–2019",,,
,Indiana,"19,940","16,610",83.3,,16.3,,"21,660","20,430",94.3,,33,,8.6,,13.2,
,Iowa,"6,280","4,010",63.9,,2.2,,"6,560","5,020",76.5,,8.7,,4.5,,19.8,
,Kansas,"9,670","6,860",70.9,,5.2,,"9,960","8,080",81.1,,4.5,,3,,14.4,
,Michigan,"20,890","16,350",78.3,,6.1,,"20,110","15,880",79,,9.3,,-3.7,,0.9,
,Minnesota,"9,750","6,400",65.6,,0,,"9,990","6,840",68.5,,1.3,,2.5,,4.3,
,Missouri,"14,330","11,430",79.8,,16.4,,"14,610","11,580",79.3,,12.9,,2,,-0.6,
,Nebraska,"5,080","3,480",68.5,,1.7,,"5,080","4,200",82.7,,5.2,,0,,20.7,
,North Dakota,"1,640","1,230",75,,9.1,,"2,580","1,470",57,,4.3,,57.3,,-24,
,Ohio,"20,370","18,190",89.3,,23.4,,"20,720","20,580",99.3,,31,,1.7,,11.2,
,South Dakota,"2,420","1,680",69.4,,0,,"2,460","2,010",81.7,,8.8,,1.7,,17.7,
,Wisconsin,"17,580","12,150",69.1,,4.3,,"17,510","12,750",72.8,,5.7,,-0.4,,5.4,
South,,"452,810","363,480",80.3,%,17.6,%,"460,370","386,770",84,%,19.6,%,1.7,%,4.7,%
,Alabama,"20,740","15,580",75.1,,10.9,,"20,500","16,450",80.2,,15,,-1.2,,6.8,
,Arkansas,"9,680","8,610",88.9,,25.4,,"10,400","9,400",90.4,,17.3,,7.4,,1.6,
,District of Columbia,"2,960","2,450",82.8,,0,,"3,560","1,820",51.1,,0,,20.3,,-38.2,
,Florida,"70,300","52,430",74.6,,9.6,,"71,440","56,660",79.3,,14.4,,1.6,,6.3,
,Georgia,"62,820","41,750",66.5,,6,,"59,490","44,810",75.3,,11.7,,-5.3,,13.3,
,Kentucky,"19,800","19,200",97,,48.7,,"22,090","26,190",118.6,,74.7,,11.6,,22.3,
,Louisiana,"35,910","30,950",86.2,,5.6,,"37,850","32,560",86,,5,,5.4,,-0.2,
,Maryland,"15,710","11,520",73.3,,11.1,,"13,350","8,590",64.3,,4.2,,-15,,-12.3,
,Mississippi,"16,350","13,390",81.9,,8.5,,"19,450","14,340",73.7,,2.4,,19,,-10,
,North Carolina,"23,790","18,520",77.8,,18.1,,"24,060","20,360",84.6,,25.3,,1.1,,8.7,
,Oklahoma,"14,940","12,670",84.8,,22.8,,"15,430","10,630",68.9,,12.3,,3.3,,-18.8,
,South Carolina,"13,510","10,880",80.5,,22.4,,"13,380","11,470",85.7,,25.5,,-1,,6.4,
,Tennessee,"33,020","26,630",80.6,,29.4,,"33,210","31,240",94.1,,39.3,,0.6,,16.6,
,Texas,"85,260","66,210",77.7,,3.8,,"85,640","68,770",80.3,,3.3,,0.4,,3.4,
,Virginia,"24,090","28,690",119.1,,66.2,,"26,120","28,380",108.7,,57.8,,8.4,,-8.8,
,West Virginia,"3,940","4,030",102.3,,36.4,,"4,390","5,110",116.4,,63.6,,11.4,,13.8,
West,,"180,810","156,260",86.4,%,14.4,%,"180,480","148,800",82.4,%,9,%,-0.2,%,-4.6,%
,Alaska,160,60,37.5,,6.7,,180,50,27.8,,0,,12.5,,-25.9,
,Arizona,"17,200","13,970",81.2,,12.5,,"16,390","13,540",82.6,,10.4,,-4.7,,1.7,
,California,"85,600","82,230",96.1,,28.1,,"88,940","75,060",84.4,,13.9,,3.9,,-12.1,
,Colorado,"16,430","11,660",71,,0,,"16,070","13,000",80.9,,14.5,,-2.2,,14,
,Idaho,"4,630","3,350",72.4,,11.1,,"4,910","4,250",86.6,,6,,6,,19.6,
,Montana,"3,020","2,870",95,,10.8,,"2,780","2,510",90.3,,21.5,,-7.9,,-5,
,Nevada,"8,330","6,810",81.8,,5,,"8,680","7,220",83.2,,5.4,,4.2,,1.7,
,New Mexico,"10,590","8,900",84,,30,,"9,320","6,550",70.3,,0,,-12,,-16.4,
,Oregon,"7,220","5,630",78,,8.3,,"6,890","6,040",87.7,,8.3,,-4.6,,12.4,
,Utah,"9,020","7,170",79.5,,4.2,,"9,350","7,300",78.1,,0,,3.7,,-1.8,
,Washington,"16,040","12,150",75.7,,12.1,,"14,260","11,710",82.1,,7.9,,-11.1,,8.4,
,Wyoming,"2,580","1,460",56.6,,4.3,,"2,730","1,570",57.5,,4.4,,5.8,,1.6,
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology. Details may not sum to totals due to rounding. ",,,,,,,,,,,,,,,,,
a/See U.S. Census Bureau. (n.d.). Census regions and divisions of the United States. https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf,,,,,,,,,,,,,,,,,
b/As of year-end (December 31). ,,,,,,,,,,,,,,,,,
c/As of midyear (last weekday in June). ,,,,,,,,,,,,,,,,,
"d/The maximum number of beds or inmates assigned by a rating official to a facility, excluding separate temporary holding areas. ",,,,,,,,,,,,,,,,,
"e/The number of inmates in custody, divided by the rated capacity. ",,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Jails, 2013 and 2019. ",,,,,,,,,,,,,,,,,
