Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: cj0519stt18.csv,,,,,,,,,,,,,,,
"Table 18. Correctional officers in local jails, by sex, inmate-to-correctional-officer ratio, and state, 2013 and 2019",,,,,,,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Deaths in Custody, 2013 Annual Summary on Inmates Under Jail Jurisdiction; and Census of Jails, 2019",,,,,,,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 18. Correctional officers in local jails, by sex, inmate-to-correctional-officer ratio, and state, 2013 and 2019",,,,,,,,,,,,,,,
,,2013/b,,,,2019/c,,,,"Percent change in correctional officers, 2013–2019",,,,,
,Wisconsin,"3,020","1,840","1,190",4,"2,930","1,870","1,060",4.4,-3,,1.6,,-10.9,
South,,"82,590","55,490","27,100",4.4,"82,540","52,950","29,580",4.7,-0.1,%,-4.6,%,9.2,%
,Alabama,"3,110","2,060","1,050",5,"2,710","1,660","1,050",6.1,-12.9,,-19.4,,0,
,Arkansas,"1,900","1,270",640,4.5,"1,930","1,220",710,4.9,1.6,,-3.9,,10.9,
,District of Columbia,720,440,280,3.4,910,550,360,2,26.4,,25,,28.6,
,Florida,"11,560","7,700","3,870",4.5,"14,150","8,980","5,170",4,22.4,,16.6,,33.6,
,Georgia,"9,370","6,510","2,870",4.5,"8,570","5,660","2,910",5.2,-8.5,,-13.1,,1.4,
,Kentucky,"3,800","2,640","1,160",5.1,"3,780","2,550","1,230",6.9,-0.5,,-3.4,,6,
,Louisiana,"5,300","3,730","1,570",5.8,"5,120","3,300","1,820",6.4,-3.4,,-11.5,,15.9,
,Maryland,"3,840","2,350","1,480",3,"3,550","2,260","1,290",2.4,-7.6,,-3.8,,-12.8,
,Mississippi,"2,180","1,390",790,6.1,"2,590","1,430","1,160",5.5,18.8,,2.9,,46.8,
,North Carolina,"5,720","3,820","1,900",3.2,"5,090","3,270","1,820",4,-11,,-14.4,,-4.2,
,Oklahoma,"2,360","1,620",740,5.4,"2,270","1,370",900,4.7,-3.8,,-15.4,,21.6,
,South Carolina,"2,810","1,690","1,120",3.9,"2,480","1,330","1,150",4.6,-11.7,,-21.3,,2.7,
,Tennessee,"5,770","3,510","2,260",4.6,"5,150","3,280","1,870",6.1,-10.7,,-6.6,,-17.3,
,Texas,"16,070","10,840","5,230",4.1,"16,660","10,860","5,800",4.1,3.7,,0.2,,10.9,
,Virginia,"7,370","5,350","2,020",3.9,"6,860","4,640","2,220",4.1,-6.9,,-13.3,,9.9,
,West Virginia,700,580,120,5.8,730,600,140,7,4.3,,3.4,,16.7,
West,,"31,130","23,260","7,870",5,"27,810","21,480","6,330",5.4,-10.7,%,-7.7,%,-19.6,%
,Alaska,100,60,40,0.6,90,50,40,0.6,-10,,-16.7,,0,
,Arizona,"3,510","2,560",940,4,"3,040","2,290",750,4.5,-13.4,,-10.5,,-20.2,
,California,"12,960","9,540","3,420",6.3,"10,860","8,530","2,330",6.9,-16.2,,-10.6,,-31.9,
,Colorado,"3,480","2,480","1,000",3.4,"3,270","2,440",830,4,-6,,-1.6,,-17,
,Idaho,880,700,180,3.8,890,690,200,4.8,1.1,,-1.4,,11.1,
,Montana,740,540,200,3.9,680,480,190,3.7,-8.1,,-11.1,,-5,
,Nevada,"1,530","1,220",320,4.5,"1,430","1,090",340,5,-6.5,,-10.7,,6.3,
,New Mexico,"2,060","1,510",560,4.3,"1,640","1,160",470,4,-20.4,,-23.2,,-16.1,
,Oregon,"1,430","1,130",310,3.9,"1,490","1,190",310,4.1,4.2,,5.3,,0,
,Utah,"1,300","1,020",280,5.5,"1,270","1,030",240,5.7,-2.3,,1,,-14.3,
,Washington,"2,720","2,200",510,4.5,"2,780","2,250",530,4.2,2.2,,2.3,,3.9,
,Wyoming,430,310,130,3.4,390,280,100,4,-9.3,,-9.7,,-23.1,
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology. Details may not sum to totals due to rounding. ",,,,,,,,,,,,,,,
a/See U.S. Census Bureau. (n.d.). Census regions and divisions of the United States. https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf,,,,,,,,,,,,,,,
b/As of year-end (December 31). ,,,,,,,,,,,,,,,
c/As of midyear (last weekday in June). ,,,,,,,,,,,,,,,
"d/Deputies, monitors, and other custody staff who spend more than 50% of their time with the incarcerated population. ",,,,,,,,,,,,,,,
e/The number of inmates in custody per correctional officer.,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Deaths in Custody, 2013 Annual Summary on Inmates Under Jail Jurisdiction; and Census of Jails, 2019.",,,,,,,,,,,,,,,
