Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: cj0519stt14.csv,,,,,,,,,,,,,,,
"Table 14. Average daily population, admissions, and average jail time in local jails, by state, 2013 and 2019",,,,,,,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2013 and 2019",,,,,,,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 14. Average daily population, admissions, and average jail time in local jails, by state, 2013 and 2019",,,,,,,,,,,,,,,
,,2013/b,,,,2019/c,,,,"Percent change, 2013–2019",,,,,
,Nevada,"6,920","144,260",17.5,,"7,050","161,130",16,,1.9,,11.7,,-8.8,
,New Mexico,"8,980","150,490",21.8,,"6,320","110,930",20.8,,-29.6,,-26.3,,-4.5,
,Oregon,"5,750","176,550",11.9,,"6,030","182,810",12,,4.9,,3.5,,1.3,
,Utah,"7,310","97,510",27.4,,"7,330","94,860",28.2,,0.3,,-2.7,,3.1,
,Washington,"12,330","283,630",15.9,,"12,180","266,220",16.7,,-1.2,,-6.1,,5.2,
,Wyoming,"1,580","29,380",19.6,,"1,610","30,940",19,,1.9,,5.3,,-3.2,
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology. Details may not sum to totals due to rounding. ",,,,,,,,,,,,,,,
a/See U.S. Census Bureau. (n.d.). Census regions and divisions of the United States. https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf,,,,,,,,,,,,,,,
"b/Based on the 12-month period from January 1, 2013 to December 31, 2013. ",,,,,,,,,,,,,,,
"c/Based on the 12-month period from July 1, 2018 to June 30, 2019. ",,,,,,,,,,,,,,,
"d/The sum of all inmates in jail each day for the 12-month period, divided by the number of days in the period.",,,,,,,,,,,,,,,
e/The total number of new admissions to jail during the 12-month period.,,,,,,,,,,,,,,,
"f/The average daily population multiplied by the number of days in the 12-month period, divided by the number of admissions during the period.",,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Jails, 2013 and 2019. ",,,,,,,,,,,,,,,
