Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: ssvacf0911t04.csv,,,,,,,,,,,,,
"Table 4. Allegations of sexual victimization reported by local jail authorities, by type of victimization, 2011",,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2011",,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 1/9/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 4. Allegations of sexual victimization reported by local jail authorities, by type of victimization, 2011",,,,,,,,,,,,,
,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,
,Gwinnett Co. Det. Ctr. ,"2,590",0,0,,0,0,,1,0,,0,0
,Laurens Co./a,245,0,0,,/,/,,2,0,,2,0
,Muscogee Co.,"1,140",3,1,,1,0,,0,0,,1,0
,"Newton Co./a,b",665,0,0,,/,/,,1,1,,/,/
,Troup Co. Jail ,423,1,0,,0,0,,0,0,,0,0
Idaho,,,,,,,,,,,,,
,Canyon Co. ,393,0,0,,2,0,,1,0,,0,0
Illinois,,,,,,,,,,,,,
,Cook Co. ,"9,974",20,2,,5,0,,3,0,,0,0
,Kane Co. ,618,0,0,,1,0,,0,0,,0,0
,"Kankakee Co./a,",650,1,0,,/,/,,1,0,,0,0
,"Logan Co./a,b",31,1,0,,/,/,,0,0,,/,/
Indiana,,,,,,,,,,,,,
,Allen Co.,840,1,0,,0,0,,0,0,,0,0
,Clark Co.,460,2,1,,0,0,,1,1,,0,0
,Elkhart Co./a,867,3,1,,/,/,,1,0,,0,0
,Gibson Co. ,119,0,0,,0,0,,0,0,,1,1
,Marion Co. ,"1,090",2,0,,0,0,,1,1,,0,0
,Vanderburgh Co.,537,2,1,,0,0,,0,0,,0,0
,Wayne Co.,283,0,0,,0,0,,1,0,,0,0
Iowa,,,,,,,,,,,,,
,Polk Co. ,909,27,0,,0,0,,3,0,,0,0
Kansas,,,,,,,,,,,,,
,Greenwood Co.,22,0,0,,0,0,,1,0,,0,0
,Sedgwick Co. Det. Ctr./a,"1,502",4,0,,/,/,,1,0,,0,0
,"Wyandotte Co./a,b",330,1,0,,/,/,,2,0,,/,/
Kentucky,,,,,,,,,,,,,
,Daviess Co. Det. Ctr./a,601,0,0,,/,/,,0,0,,1,/
,Fayette Co. Det. Ctr.,"1,163",0,0,,0,0,,6,0,,0,0
,"Fulton Co. Det. Ctr./a,b",350,2,0,,/,/,,0,0,,/,/
,Henderson Co. Det. Ctr.,550,1,1,,1,1,,1,0,,0,0
,Hopkins Co.,407,0,0,,0,0,,4,0,,0,0
,Louisville Metropolitan/a,"1,991",7,1,,/,/,,5,0,,0,0
Louisiana,,,,,,,,,,,,,
,Caddo Parish Corr. Ctr.,"1,279",3,0,,0,0,,0,0,,0,0
,Calvasieu Parish Corr. Ctr.,"1,251",4,0,,0,0,,0,0,,0,0
,Claiborne Parish Det. Fac. ,577,1,0,,1,0,,0,0,,0,0
,Franklin Parish Det. Ctr./a,794,4,0,,/,/,,0,0,,1,0
,Jackson Parish Corr. Ctr./b,"1,097",1,0,,2,0,,0,0,,/,/
,Jefferson Parish ,956,10,0,,1,0,,1,0,,0,0
,Orleans Parish Prison,"3,177",6,0,,2,1,,1,1,,0,0
,St. Martin Parish/b,171,2,0,,0,0,,0,0,,/,/
,St. Tammany Parish ,998,4,1,,14,0,,1,0,,0,0
,"Sulphur City/a,b",12,0,0,,/,/,,1,0,,/,/
,Terrebone Parish C.J. Complex,673,5,1,,0,0,,0,0,,0,0
,West Baton Rouge Parish,274,0,0,,1,0,,0,0,,0,0
Maine,,,,,,,,,,,,,
,Waldo Co.,25,1,0,,0,0,,1,0,,0,0
Maryland,,,,,,,,,,,,,
,Anne Arundel Co./a,856,3,0,,/,/,,0,0,,0,0
,"Baltimore City Det. Ctr./a,b","3,452",2,0,,/,/,,1,1,,/,/
,Baltimore Co.,"1,368",3,1,,5,3,,0,0,,0,0
,Charles Co. Det. Ctr.,455,0,0,,1,0,,1,0,,0,0
,Dorchester Co. ,167,1,0,,0,0,,1,0,,0,0
,Frederick Co.,414,3,0,,0,0,,0,0,,0,0
,Montgomery Co. Det. Ctr. ,"1,001",1,0,,1,0,,1,0,,0,0
,Washington Co./a,413,3,1,,/,/,,0,0,,0,0
Massachusetts,,,,,,,,,,,,,
,Barnstable Co./a,418,3,0,,/,/,,1,0,,1,0
,Bristol Co.,"1,400",10,2,,4,1,,4,0,,0,0
,Hampden Co.,"1,548",2,0,,1,0,,3,1,,0,0
,Suffolk Co.,672,2,0,,0,0,,0,0,,0,0
,Suffolk Co. House of Corr. ,"1,405",1,/,,6,/,,0,/,,0,/
Michigan,,,,,,,,,,,,,
,Kent Co. ,971,3,0,,0,0,,0,0,,0,0
,Manistee Co./a,48,0,0,,/,/,,1,0,,0,0
,Muskegon Co. ,415,1,0,,0,0,,0,0,,2,0
,Oakland Co.,360,2,0,,0,0,,0,0,,1,0
,Tuscola Co.,85,0,0,,0,0,,1,0,,0,0
,Washtenaw Co.,345,0,0,,2,1,,0,0,,0,0
,"Wayne Co./a,b","2,094",6,0,,/,/,,1,1,,/,/
Minnesota,,,,,,,,,,,,,
,Hennepin Co. Adult Det. Ctr./a,683,2,0,,/,/,,0,0,,0,0
,Northwest Reg. Corr. Ctr.,123,1,0,,0,0,,0,0,,0,0
,Ramsey Co. ,356,2,0,,2,0,,0,0,,0,0
Mississippi,,,,,,,,,,,,,
,Harrison Co./a,992,2,0,,/,/,,1,0,,0,0
Missouri,,,,,,,,,,,,,
,Adair Co.,37,1,0,,0,0,,0,0,,0,0
,Boone Co./a,228,1,0,,/,/,,1,0,,0,0
,Crawford Co.,90,1,0,,0,0,,0,0,,0,0
,Jackson Co. Det. Ctr.,793,0,0,,1,0,,1,0,,0,0
,St. Louis City ,"1,702",0,0,,0,0,,0,0,,2,0
,St. Louis Co.,"1,291",0,0,,0,0,,5,2,,2,0
Montana,,,,,,,,,,,,,
,"Dawson Co./a,b",164,4,0,,/,/,,0,0,,/,/
,Gallatin Co. ,74,0,0,,0,0,,0,0,,3,0
,"Missoula Co./a,b",297,3,2,,/,/,,0,0,,/,/
Nebraska,,,,,,,,,,,,,
,"Douglas Co./a,b","1,165",17,0,,0,0,,4,0,,/,/
,Gage Co./b,26,0,0,,1,0,,0,0,,/,/
Nevada,,,,,,,,,,,,,
,Clark Co. Det. Ctr.,"3,252",9,2,,2,0,,5,0,,0,0
,Washoe Co. Det. Ctr. ,993,1,0,,0,0,,0,0,,0,0
New Hampshire,,,,,,,,,,,,,
,"Strafford Co./a,b",431,8,0,,/,/,,0,0,,/,/
New Jersey,,,,,,,,,,,,,
,Atlantic Co. ,855,1,0,,0,0,,0,0,,0,0
,"Bergen Co./a,b",792,1,0,,/,/,,2,0,,/,/
,Camden Co. Corr. Fac./b,"1,237",2,1,,0,0,,0,0,,/,/
,Essex Co. Corr. Fac. ,"2,878",1,0,,2,1,,0,0,,1,1
,Monmouth Co. Corr. Inst./a,"1,127",3,0,,/,/,,1,0,,0,0
,Ocean Co. Justice Complex,581,5,0,,3,0,,1,0,,0,0
,Passaic Co.,"1,021",2,0,,0,0,,0,0,,0,0
New Mexico,,,,,,,,,,,,,
,Bernalillo Co. Metropolitan Det. Ctr./a,"2,450",11,2,,/,/,,0,0,,0,0
,Guadalupe Co./b,62,1,0,,0,0,,0,0,,/,/
New York,,,,,,,,,,,,,
,"Erie Co. Holding Ctr./a,b","1,311",2,1,,/,/,,0,0,,/,/
,Monroe Co. ,"1,433",0,0,,1,1,,0,0,,0,0
,New York City,"12,421",15,0,,9,0,,83,3,,4,0
,"Oneida Co./a,b",430,1,0,,/,/,,0,0,,/,/
,Suffolk Co.,"1,784",0,0,,0,0,,3,0,,1,0
,Westchester Co.,"1,468",4,0,,4,0,,2,0,,0,0
North Carolina,,,,,,,,,,,,,
,"Durham Co. Det. Ctr./a,b",516,1,0,,/,/,,0,0,,/,/
,Pitt Co. ,485,0,0,,0,0,,0,0,,1,0
,"Wake Co./a,b","1,192",1,0,,/,/,,0,0,,/,/
North Dakota,,,,,,,,,,,,,
,Grand Forks Co. Corr. Ctr. ,174,0,0,,0,0,,1,0,,0,0
Ohio,,,,,,,,,,,,,
,Butler Co. ,889,0,0,,0,0,,1,0,,0,0
,Cuyahoga Co. Corr. Ctr.,"2,114",4,0,,12,0,,5,0,,0,0
,Fairfield Co.,177,1,0,,0,0,,0,0,,0,0
,Franklin Co./a,"1,916",4,0,,/,/,,0,0,,0,0
,Hamilton Co. ,"1,418",1,0,,0,0,,0,0,,0,0
,Lorain Co. ,392,1,0,,0,0,,1,0,,0,0
Oklahoma,,,,,,,,,,,,,
,"Comanche Co. Det. Ctr./a,b",283,1,1,,/,/,,1,0,,/,/
,"Grant Co./c,e",10,1,0,,1,0,,0,0,,0,0
,Le Flore Co. Det. Ctr. ,171,1,0,,0,0,,0,0,,0,0
,Oklahoma Co. ,"2,115",12,1,,2,1,,0,0,,0,0
Oregon,,,,,,,,,,,,,
,Benton Co./a,66,1,0,,/,/,,2,0,,0,0
,Lane Co. ,406,1,0,,0,0,,1,0,,1,0
,Marion Co. ,507,0,0,,0,0,,3,0,,0,0
,Multnomah Co.,"1,173",0,0,,3,0,,2,0,,0,0
Pennsylvania,,,,,,,,,,,,,
,Allegheny Co.,"2,956",2,0,,3,1,,0,0,,0,0
,Berks Co. Prison ,"1,046",2,0,,1,0,,0,0,,0,0
,"Bradford Co. Prison/a,b",160,0,0,,/,/,,1,1,,/,/
,"Chester Co. Prison/c,f",940,0,0,,/,/,,1,0,,0,0
,Dauphin Co. Prison ,943,1,0,,1,0,,3,0,,0,0
,Franklin Co./d,315,0,0,,2,0,,3,0,,/,/
,Lancaster Co. Prison ,"1,126",2,0,,0,0,,0,0,,0,0
,Lawrence Co. Corr. ,245,1,0,,0,0,,0,0,,0,/
,Lehigh Co. ,"1,076",0,0,,0,0,,2,0,,0,0
,Lycoming Co. Prison,227,1,0,,0,0,,0,0,,0,0
,Mifflin Co.,82,0,0,,0,0,,1,1,,2,1
,Montgomery Co. ,"2,065",0,0,,5,0,,3,0,,2,0
,Northampton Co. Prison/a,792,4,0,,/,/,,0,0,,2,0
,Philadelphia Prison Sys./a,"7,951",1,0,,/,/,,5,0,,9,9
,"Westmoreland Co. Prison/a,b",524,1,0,,/,/,,0,0,,/,/
,York Co. Prison/g,"2,378",7,0,,2,1,,1,0,,3,0
South Carolina,,,,,,,,,,,,,
,Beaufort Co. ,223,1,0,,0,0,,0,0,,0,0
,Charleston Co./a,"1,553",0,0,,/,/,,6,2,,0,0
,Chesterfield Co./a,66,0,0,,/,/,,0,0,,1,0
,York Co. ,394,0,0,,0,0,,1,0,,0,0
Tennessee,,,,,,,,,,,,,
,Blount Co./a,455,2,0,,/,/,,0,0,,0,0
,Davidson Co. ,"2,047",2,0,,9,3,,14,3,,3,2
,Hamilton Co./a,520,3,0,,/,/,,0,0,,3,0
,Perry Co.,45,0,0,,0,0,,1,0,,0,0
,Shelby Co. ,"2,677",21,0,,2,0,,1,1,,1,0
,Shelby Co. Govt. Div. of Corr. ,"2,393",2,1,,0,0,,0,0,,0,0
,Sumner Co. ,657,0,0,,0,0,,1,0,,0,0
,Unicoi Co. ,80,1,0,,0,0,,0,0,,0,0
Texas,,,,,,,,,,,,,
,Bexar Co.,"3,854",6,0,,4,0,,8,1,,0,0
,"Brazos Co./a,b",596,1,0,,/,/,,2,1,,/,/
,Coryell Co./b,85,0,0,,0,0,,1,0,,/,/
,Dallas Co./a,"6,450",8,0,,/,/,,2,0,,0,0
,El Paso Co.,"2,215",0,0,,1,0,,0,0,,0,0
,Galveston Co.,907,0,0,,0,0,,2,1,,1,0
,"Harris Co./a,b","9,654",18,0,,/,/,,4,1,,/,/
,Hunt Co. ,278,0,0,,0,0,,1,1,,0,0
,Jackson Co.,62,0,0,,0,0,,1,1,,0,0
,Johnson Co.,613,2,0,,0,0,,0,0,,0,0
,Tarrant Co./c,"3,320",1,0,,0,0,,1,0,,0,0
,Travis Co. ,"2,414",1,1,,5,4,,4,1,,4,0
,Williamson Co. ,627,0,0,,0,0,,2,0,,0,0
Utah,,,,,,,,,,,,,
,"Salt Lake Co./a,b","2,153",13,1,,/,/,,5,1,,/,/
,Utah Co. ,820,1,1,,3,2,,0,0,,0,0
,Weber Co./a,799,6,0,,/,/,,0,0,,3,0
Virginia,,,,,,,,,,,,,
,Arlington Co.,434,1,1,,0,0,,0,0,,0,0
,Blue Ridge Reg. Jail ,"1,010",0,0,,1,0,,3,0,,0,0
,Chesapeake City,"1,063",2,0,,0,0,,0,0,,0,0
,Fairfax Co. Adult Det. Ctr.,"1,288",1,0,,0,0,,0,0,,0,0
,Hampton Roads Reg. Jail,"1,198",1,0,,1,0,,1,0,,0,0
,Henrico Co.,"1,283",4,0,,3,1,,0,0,,0,0
,Henry Co.,163,0,0,,1,1,,0,0,,0,0
,Norfolk City ,"1,336",0,0,,3,0,,0,0,,0,0
,Northwestern Reg. Adult Det. Ctr.,591,0,0,,0,0,,0,0,,1,0
,Pittsylvania Co./a,122,0,0,,/,/,,1,0,,0,0
,Richmond City,"1,395",0,0,,0,0,,2,2,,0,0
,Riverside Reg. Jail,"1,299",0,0,,0,0,,2,0,,0,0
,Southwest Virginia Reg. Jail ,"1,653",0,0,,0,0,,0,0,,1,0
,"Virginia Beach City/a,b","1,488",1,0,,/,/,,9,0,,/,/
,Western Tidewater Reg. Jail,669,1,0,,1,0,,2,0,,0,0
,Western Virginia Reg. Jail/b,714,0,0,,1,0,,0,0,,/,/
Washington,,,,,,,,,,,,,
,Benton Co. ,624,0,0,,0,0,,1,0,,1,0
,Columbia Co. ,5,0,0,,0,0,,1,0,,0,0
,Cowlitz Co.,272,0,0,,0,0,,2,0,,0,0
,"Grant Co./a,b",200,2,0,,/,/,,0,0,,/,/
,King Co./a,"2,202",6,1,,/,/,,7,0,,3,0
,Kitsap Co. Corr. Ctr.,420,0,0,,0,0,,0,0,,1,0
,Pierce Co. Det. & Corr. Ctr. ,"1,244",5,0,,2,0,,2,0,,1,0
,Snohomish Co.,"1,199",1,0,,5,2,,2,0,,1,1
,Spokane Co. (Geiger Corr. Ctr.),764,0,0,,19,2,,5,0,,0,0
,Yakima Co. ,700,1,0,,0,0,,0,0,,0,0
West Virginia,,,,,,,,,,,,,
,Central Reg. Jail,321,1,0,,1,0,,6,0,,2,1
,"North Central Reg. Jail/a,b",607,5,0,,3,0,,0,0,,/,/
,"South Central Reg. Jail/d,f",459,3,0,,1,0,,1,0,,/,/
,Tygart Valley Reg. Jail,413,1,0,,0,0,,2,1,,0,0
Wisconsin,,,,,,,,,,,,,
,Adams Co.,64,0,0,,1,0,,1,0,,0,0
,Kenosha Co.,833,1,0,,7,1,,1,0,,0,0
,"Marathon Co. Adult Det. Fac./a,b",290,0,0,,/,/,,1,1,,/,/
,Milwaukee Co.,"2,512",2,0,,3,0,,4,0,,0,0
,"Outagamie Co./a,b",379,0,0,,/,/,,1,1,,/,/
,Racine Co. ,687,0,0,,1,0,,1,1,,0,0
,Vilas Co.,87,0,0,,1,1,,0,0,,0,0
/ Not reported.,,,,,,,,,,,,,
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,,,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,,,,,,,,,,
c/Counts of nonconsensual sexual acts were based on substantiated allegations only.,,,,,,,,,,,,,
d/Agency did not record allegations of staff sexual harassment.,,,,,,,,,,,,,
e/Counts of staff sexual misconduct were based on substantiated allegations only.,,,,,,,,,,,,,
f/Agency did not record allegations of abusive sexual contact.,,,,,,,,,,,,,
g/Average daily population was unavailable; the Deaths in Custody Reporting Program population was used in its place.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2011.",,,,,,,,,,,,,
