Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: ssvacf0911t06.csv,,,,,,,,,,,,,
"Table 6. Allegations of sexual victimization reported by local jail authorities, by type of victimization, 2009",,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2009",,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 1/9/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 6. Allegations of sexual victimization reported by local jail authorities, by type of victimization, 2009",,,,,,,,,,,,,
,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,
,Gwinnett Co. Det. Ctr. ,"2,671",2,0,,0,0,,3,0,,0,0
,"Muscogee Co./a,b","1,171",1,0,,/,/,,1,0,,/,/
,Wayne Co.,129,1,0,,1,0,,0,0,,0,0
Idaho,,,,,,,,,,,,,
,Ada Co.,987,2,1,,1,0,,0,0,,0,0
,Twin Falls Adult Criminal Justice Fac. ,213,0,0,,0,0,,0,0,,1,1
Illinois,,,,,,,,,,,,,
,Cook Co. ,"9,039",9,1,,3,0,,0,0,,0,0
,"Jackson Co./a,b",118,1,0,,/,/,,0,0,,/,/
,"Lake Co./a,b",603,1,0,,/,/,,0,0,,/,/
,Lawrence Co. ,33,0,0,,0,0,,1,1,,0,0
,Winnebago Co./a,801,3,0,,/,/,,0,0,,0,0
Indiana,,,,,,,,,,,,,
,Clark Co.,406,0,0,,1,0,,2,1,,0,0
,Clinton Co.,181,1,1,,0,0,,0,0,,0,0
,Hendricks Co.,244,0,0,,0,0,,2,0,,0,0
,Marion Co. ,"1,281",0,0,,3,0,,0,0,,0,0
,Montgomery Co. ,204,1,0,,0,0,,0,0,,0,0
,Scott Co. Security Ctr.,100,2,0,,0,0,,0,0,,0,0
Kansas,,,,,,,,,,,,,
,Butler Co./d,200,0,0,,0,0,,0,0,,1,0
,Johnson Co. Adult Det. Ctr.,751,0,0,,0,0,,1,1,,0,0
,Sedgwick Co. Det. Ctr. ,"1,645",5,0,,5,0,,5,1,,0,0
Kentucky,,,,,,,,,,,,,
,Bullitt Co.,312,6,0,,2,0,,2,0,,0,0
,Fayette Co. Det. Ctr.,"1,201",0,0,,0,0,,4,0,,1,0
,"Fulton Co. Det. Ctr./a,e",251,1,0,,/,/,,0,0,,0,0
,Lincoln Co. Reg. Jail,97,0,0,,0,0,,1,0,,0,0
,Louisville Metropolitan,"1,909",4,0,,0,0,,5,0,,0,0
,Ohio Co. Det. Ctr./a,62,2,2,,/,/,,0,0,,0,0
,Shelby Co. Det. Ctr. ,305,2,0,,0,0,,1,0,,2,0
Louisiana,,,,,,,,,,,,,
,Bossier Parish ,"1,170",1,1,,0,0,,0,0,,0,0
,Caddo Parish Corr. Ctr.,"1,242",0,0,,0,0,,0,0,,1,0
,Calvasieu Parish Corr. Ctr.,"1,223",3,0,,0,0,,0,0,,1,0
,East Baton Rouge Parish Prison/e,"1,682",3,0,,0,0,,1,1,,0,0
,Lafayette Parish ,931,1,0,,0,0,,4,3,,0,0
,Orleans Parish Prison,"3,239",6,2,,1,0,,0,0,,0,0
,Rapides Parish ,941,0,0,,1,0,,0,0,,0,0
Maine,,,,,,,,,,,,,
,Cumberland Co. ,428,2,1,,0,0,,0,0,,0,0
,"Somerset Co./a,b,c",131,2,0,,/,/,,2,0,,/,/
Maryland,,,,,,,,,,,,,
,Anne Arundel Co. ,"1,106",3,0,,0,0,,1,0,,0,0
,"Baltimore City Det. Ctr./a,b","3,871",5,0,,/,/,,2,1,,/,/
,Baltimore Co.,"1,332",3,0,,0,0,,0,0,,0,0
,Carroll Co. Det. Ctr./a,268,1,0,,/,/,,0,0,,0,0
,Montgomery Co. Det. Ctr. ,850,1,0,,2,0,,0,0,,0,0
,Prince George’s Co. Corr. Ctr. ,"1,259",1,0,,0,0,,1,1,,0,0
Massachusetts,,,,,,,,,,,,,
,Berkshire Co.,343,0,0,,1,0,,1,1,,0,0
,Bristol Co.,"1,355",7,2,,17,7,,3,0,,0,0
,Hampden Co.,"1,752",2,0,,0,0,,1,1,,0,0
,Suffolk Co.,716,0,0,,1,0,,0,0,,0,0
,Suffolk Co. House of Corr. ,"1,684",9,1,,12,2,,3,0,,0,0
,"Worcester Co. Jail & House of Corr./a,b","1,200",4,1,,/,/,,0,0,,/,/
Michigan,,,,,,,,,,,,,
,Macomb Co. ,"1,253",1,0,,0,0,,0,0,,0,0
,Oakland Co.,"1,727",0,0,,2,0,,1,0,,0,0
,Ottawa Co. ,352,1,0,,0,0,,0,0,,0,0
,Wayne Co.,"2,112",1,0,,1,1,,1,1,,0,0
Minnesota,,,,,,,,,,,,,
,"Dakota Co./e,f",235,1,0,,0,0,,0,0,,/,/
,Hennepin Co. Adult Corr. Fac.,549,0,0,,0,0,,2,0,,0,0
,"Scott Co./a,b",133,1,0,,/,/,,0,0,,/,/
Mississippi,,,,,,,,,,,,,
,Desoto Co. ,401,0,0,,1,0,,0,0,,0,0
,Harrison Co. ,705,1,0,,1,0,,0,0,,0,0
,"Lowndes Co./a,b",222,1,1,,/,/,,0,0,,/,/
,"Madison Co./a,b",360,9,0,,/,/,,0,0,,/,/
Missouri,,,,,,,,,,,,,
,Jackson Co. Det. Ctr.,970,0,0,,0,0,,1,1,,0,0
,Jefferson Co./b,194,0,0,,0,0,,1,1,,/,/
,Scott Co./a,104,0,0,,/,/,,2,2,,0,0
,St. Louis Co.,"1,167",0,0,,2,1,,2,0,,2,0
Montana,,,,,,,,,,,,,
,"Cascade Co. Reg. Jail/a,b",334,6,0,,/,/,,1,0,,/,/
Nebraska,,,,,,,,,,,,,
,"Douglas Co./a,b","1,194",7,2,,/,/,,1,0,,/,/
Nevada,,,,,,,,,,,,,
,Clark Co. Det. Ctr.,"3,108",2,0,,4,4,,0,0,,0,0
,Washoe Co. Det. Ctr./a,"1,204",9,1,,/,/,,0,0,,0,0
New Hampshire,,,,,,,,,,,,,
,Hillsborough Co. House of Corr.,598,0,0,,0,0,,1,0,,0,0
New Jersey,,,,,,,,,,,,,
,"Camden Co. Corr. Fac./a,b","1,686",3,0,,/,/,,1,0,,/,/
,Essex Co. Corr. Fac./b,"2,467",2,0,,0,0,,0,0,,/,/
,Hudson Co. Corr. Fac.,"1,834",2,0,,2,0,,0,0,,0,0
,"Middlesex Co. Adult Corr. Ctr./a,b,e,g","1,224",1,0,,/,/,,0,0,,/,/
,Monmouth Co. Corr. Inst. ,"1,085",1,0,,0,0,,0,0,,0,0
,Ocean Co. Justice Complex,514,1,0,,0,0,,0,0,,0,0
,Passaic Co.,"1,190",1,0,,0,0,,0,0,,0,0
,Somerset Co. ,317,1,0,,0,0,,0,0,,0,0
,Sussex Co. Keogh Dwyer Corr. Fac.,149,1,0,,0,0,,0,0,,1,0
,Union Co.,"1,081",1,0,,0,0,,0,0,,0,0
New Mexico,,,,,,,,,,,,,
,Bernalillo Co. Metropolitan Det. Ctr.,"2,519",10,3,,5,0,,2,2,,0,0
,Eddy Co. Det. Ctr. ,238,0,0,,0,0,,1,1,,0,0
New York,,,,,,,,,,,,,
,Allegany Co./a,135,0,0,,/,/,,0,0,,1,0
,Erie Co. Holding Ctr.,"1,345",0,0,,4,0,,5,0,,1,0
,Nassau Co. Corr. Ctr./c,"1,579",0,0,,0,0,,3,0,,0,0
,New York City,"13,198",6,0,,1,0,,33,0,,5,0
,"Niagara Co./a,b",498,0,0,,/,/,,1,1,,/,/
,Rensselaer Co. ,214,0,0,,0,0,,0,0,,1,0
,Suffolk Co./a,"1,663",0,0,,/,/,,4,0,,0,0
,"Westchester Co./a,b","1,407",0,0,,/,/,,1,0,,/,/
North Carolina,,,,,,,,,,,,,
,Cabarrus Co. ,271,1,0,,0,0,,0,0,,0,0
,Dare Co. Det. Ctr. ,76,0,0,,0,0,,1,0,,0,0
,Lee Co.,114,0,0,,0,0,,1,0,,0,0
,Rutherford Co./b,209,1,0,,0,0,,0,0,,/,/
Ohio,,,,,,,,,,,,,
,Cuyahoga Co. Corr. Ctr.,"1,830",2,0,,3,0,,5,0,,0,0
,"Franklin Co./a,b","1,946",2,0,,/,/,,0,0,,/,/
,Hamilton Co. ,"1,438",4,0,,0,0,,0,0,,0,0
,Lorain Co. ,410,1,0,,0,0,,1,0,,0,0
,Seneca Co./b,193,0,0,,0,0,,1,0,,/,/
,Tri-Co. Reg. Jail/a,164,1,0,,/,/,,0,0,,0,0
Oklahoma,,,,,,,,,,,,,
,"Muskogee Co. & City/a,e,g",295,1,0,,/,/,,0,0,,0,0
,Sequoyah Co./a,108,1,0,,/,/,,0,0,,0,0
Oregon,,,,,,,,,,,,,
,Clackamas Co.,434,2,0,,0,0,,2,1,,0,0
,Josephine Co.,174,2,0,,1,0,,0,0,,0,0
,Linn Co. ,206,1,1,,0,0,,0,0,,0,0
,Multnomah Co.,"1,316",0,0,,2,1,,4,0,,1,0
,Tillamook Co.,83,2,0,,0,0,,0,0,,0,0
Pennsylvania,,,,,,,,,,,,,
,Allegheny Co.,"2,756",2,1,,0,0,,0,0,,0,0
,Berks Co. Prison ,"1,083",0,0,,1,1,,0,0,,0,0
,Bucks Co.,"1,074",0,0,,3,0,,3,0,,1,0
,Columbia Co. Prison/a,186,2,0,,/,/,,0,0,,0,0
,Cumberland Co. Prison/a,367,0,0,,/,/,,0,0,,1,0
,Lancaster Co. Prison ,"1,154",1,0,,0,0,,1,1,,0,0
,Lehigh Co. ,"1,373",0,0,,2,0,,1,1,,0,0
,Monroe Co./a,359,0,0,,/,/,,0,0,,1,0
,Philadelphia Prison Sys. ,"8,716",12,2,,0,0,,8,6,,0,0
,York Co. Prison/h,"2,246",2,0,,0,0,,2,0,,0,0
South Carolina,,,,,,,,,,,,,
,"Dorchester Co./a,b",229,2,0,,/,/,,0,0,,/,/
,Greenville Co. ,"1,303",0,0,,0,0,,2,2,,0,0
,Jasper Co. ,145,1,1,,0,0,,0,0,,0,0
,Lexington Co./a,857,1,1,,/,/,,0,0,,0,0
Tennessee,,,,,,,,,,,,,
,"Anderson Co./a,b",269,1,0,,/,/,,0,0,,/,/
,"Carter Co./a,b,e,g",198,1,0,,/,/,,0,0,,/,/
,Davidson Co. ,"2,203",2,0,,11,0,,9,6,,1,1
,Giles Co.,137,0,0,,0,0,,1,0,,0,0
,Jackson Co.,100,0,0,,0,0,,1,1,,0,0
,"McMinn Co./a,c,e,g",223,0,0,,/,/,,1,1,,0,0
,"Montgomery Co./a,b,c",385,0,0,,/,/,,2,1,,/,/
,Roane Co.,150,1,0,,0,0,,1,0,,0,0
,Shelby Co. ,"2,751",1,0,,2,0,,0,0,,0,0
,Shelby Co. Govt. Div. of Corr./a,"2,700",1,0,,/,/,,0,0,,2,0
Texas,,,,,,,,,,,,,
,Bexar Co.,"4,439",0,0,,0,0,,8,0,,0,0
,Brazos Co./b,512,1,0,,/,/,,0,0,,/,/
,Crane Co.,14,0,0,,0,0,,1,0,,1,0
,Dallas Co./a,"6,160",1,1,,/,/,,1,1,,0,0
,"El Paso Co./a,b","2,057",2,0,,/,/,,0,0,,/,/
,Galveston Co.,937,1,0,,0,0,,0,0,,1,0
,Gregg Co.,729,0,0,,0,0,,2,0,,0,0
,Harris Co./a,"11,013",21,0,,/,/,,3,1,,0,0
,Hidalgo Co.,"1,064",1,1,,2,2,,0,0,,0,0
,"Montgomery Co./a,b",884,2,0,,/,/,,0,0,,/,/
,Travis Co. ,"2,406",6,0,,2,1,,2,0,,0,0
Utah,,,,,,,,,,,,,
,Iron Co./a,131,0,0,,/,/,,2,2,,0,0
,Salt Lake Co.,"2,078",3,1,,3,0,,0,0,,0,0
Virginia,,,,,,,,,,,,,
,Alexandria City,484,1,1,,1,0,,1,0,,0,0
,Blue Ridge Reg. Jail ,"1,269",1,0,,0,0,,0,0,,0,0
,Chesapeake City,"1,085",0,0,,0,0,,1,0,,0,0
,Hampton Roads Reg. Jail,"1,269",2,0,,0,0,,3,0,,0,0
,"Henrico Co./a,b","1,249",2,0,,/,/,,0,0,,/,/
,Norfolk City ,"1,524",0,0,,5,0,,1,0,,6,0
,Northwestern Reg. Adult Det. Ctr.,397,3,0,,0,0,,0,0,,0,0
,Richmond City,"1,463",0,0,,0,0,,1,0,,1,0
,Riverside Reg. Jail,"1,146",0,0,,0,0,,2,0,,0,0
,Roanoke City ,660,1,0,,0,0,,0,0,,0,0
,Southwest Virginia Reg. Jail ,"1,389",3,0,,0,0,,1,0,,0,0
Washington,,,,,,,,,,,,,
,King Co./a,"2,403",5,0,,/,/,,3,0,,1,0
,Kitsap Co. Corr. Ctr.,372,0,0,,1,0,,2,1,,0,0
,Lewis Co.,202,1,0,,0,0,,1,0,,0,0
,Pierce Co. Det. & Corr. Ctr./b,"1,261",1,0,,0,0,,3,0,,/,/
,Snohomish Co.,"1,180",0,0,,1,0,,0,0,,0,0
,Yakima Co. ,"1,054",3,0,,1,0,,1,0,,0,0
West Virginia,,,,,,,,,,,,,
,Eastern Reg. Jail/a,427,1,0,,/,/,,0,0,,1,1
,North Central Reg. Jail/a,502,3,0,,/,/,,1,0,,/,/
,"Western Reg. Jail/c,g",541,1,0,,0,0,,0,0,,0,0
Wisconsin,,,,,,,,,,,,,
,Milwaukee Co.,918,4,0,,1,0,,2,2,,0,0
,"Vilas Co./a,b",98,1,0,,/,/,,0,0,,/,/
,Walworth Co. ,393,1,0,,0,0,,0,0,,0,0
Wyoming,,,,,,,,,,,,,
,Campbell Co. Det. Ctr./a,162,0,0,,/,/,,0,0,,1,0
,Laramie Co.,197,0,0,,0,0,,0,0,,2,2
/ Not reported.,,,,,,,,,,,,,
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,,,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,,,,,,,,,,
c/Counts of nonconsensual sexual acts were based on completed acts only.,,,,,,,,,,,,,
d/Agency did not record allegations of nonconsensual sexual acts.,,,,,,,,,,,,,
e/Counts of staff sexual misconduct were based on substantiated allegations only.,,,,,,,,,,,,,
f/Agency did not record allegations of staff sexual harassment.,,,,,,,,,,,,,
g/Counts of nonconsensual sexual acts were based on substantiated allegations only.,,,,,,,,,,,,,
h/Average daily population was unavailable; the Deaths in Custody Reporting Program population was used in its place.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2009.",,,,,,,,,,,,,
