Bureau of Justice Statistics,,
Filename: ssvacf0911t07.csv,,
"Table 7. Local jail authorities with no allegations of sexual victimization, 2011",,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,
"Data source: Survey of Sexual Violence, 2011",,
"Author(s): Allen J. Beck, Ramona R. Rantala, Jessica Rexroat",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 1/9/14,,
,,
 ,,
"Table 7. Local jail authorities with no allegations of sexual victimization, 2011",,
Jurisdiction and facility,,Average daily population
,"Osceola Co./a,b",5
,Page Co. ,8
,Scott Co./a,234
,"Wapello Co./a,b,h",67
,Woodbury Co. ,234
Kansas,,
,Bourbon Co.,48
,Cowley Co. ,111
,Elk Co.,2
,"Finney Co./c,d,e,f",126
,Graham Co. ,9
,Grant Co./g,24
,Johnson Co. Adult Det. Ctr.,685
,Lincoln Co.,4
,McPherson Co.,33
,Ness Co. ,4
,Pawnee Co. ,13
Kentucky,,
,Boone Co.,454
,"Calloway Co./a,b,g,h",157
,Grant Co.Det. Ctr./a,323
,Grayson Co. Det. Ctr.,589
,"Madison Co. Det. Ctr./a,b",271
,McCracken Co. Reg. Jail,470
,McCreary Co. ,77
,"Montgomery Co. Reg. Jail/a,b,g,h",172
,Muhlenberg Co. Det. Ctr. ,247
,Oldham Co. ,115
,Russell Co. Det. Ctr.,97
,Wayne Co. Det. Ctr.,187
Louisiana,,
,Ascension Parish ,494
,Assumption Parish/a,95
,Avoyelles Parish ,"1,142"
,Bossier Parish ,"1,212"
,East Baton Rouge Parish Prison/h,"1,605"
,East Carroll Parish,748
,East Feliciana Parish Prison/b,161
,Morehouse Parish ,265
,"Opelousas City/a,b",42
,Ouachita Parish Corr. Ctr. ,"1,029"
,Rapides Parish ,"1,024"
,St. Charles Parish ,535
,St. Helena Parish,35
,St. John Parish,245
,Tangipahoa Parish,526
,Union Parish Det. Ctr. ,383
,"Vernon Parish Corr. Fac./g,h,i",223
,West Carroll Parish,24
Maryland,,
,Prince George’s Co. Corr. Ctr. ,"1,316"
Massachusetts,,
,Franklin Co. ,222
,Plymouth Co. House of Corr./a,"1,398"
,Worcester Co. Jail & House of Corr.,"1,450"
Michigan,,
,Barry Co.,82
,Benzie Co. ,31
,"Genesee Co./a,b",542
,Gratiot Co./a,69
,"Jackson Co./a,b",394
,Kalamazoo Co.,413
,Lenawee Co.,222
,"Macomb Co./a,b","1,128"
,Midland Co./a,220
,Montcalm Co. ,148
,"Ontonagon Co./a,b",5
,Saginaw Co.,483
Minnesota,,
,Arrowhead Reg. Corr. ,128
,Brown Co.,23
,Douglas Co./a,68
,Hennepin Co. Adult Corr. Fac.,434
,Lyon Co. ,47
,Morrison Co. ,38
,Ramsey Co. Corr. Fac.,391
,Redwood Co.,17
,Watonwan Co. ,9
Mississippi,,
,Carroll-Montgomery Co. Reg. Corr. Ctr. ,272
,Clay Co. ,116
,Covington Co./a,30
,Desoto Co. ,380
,George Co. ,358
,Hollandale City,7
,Humphreys Co.,32
,Issaquena Co.,271
,"Jackson Co./a,b",442
,Jefferson-Franklin Co. Corr. Fac.,247
,Kemper-Neshoba Co. Reg. Corr. Fac. ,344
,Leake Co. Corr. Fac./a,340
,Perry Co.,35
,"Prentiss Co./a,b",68
,Stone Co. Reg. Corr. Fac.,384
,Tate Co. ,81
,Yazoo Co.,452
Missouri,,
,Barry Co.,66
,Dallas Co. ,22
,Ferguson City,13
,Harrison Co. ,20
,Hickory Co.,1
,Johnson Co.,71
,Laclede Co.,105
,Perry Co.,25
,"Ray Co./a,b,g,h",120
,Schuyler Co. ,3
,St. Charles Co.,481
,Sullivan Co. ,1
,"Taney Co./a,b,g,h",128
,Wayne Co./b,17
Montana,,
,"Beaverhead Co./a,b",82
,Big Horn Co. ,35
,Granite Co.,2
,Musselshell Co.,7
,Yellowstone Co. Det. Fac.,382
Nebraska,,
,Boone Co.,3
,Custer Co./a,8
,Dawson Co. ,117
,Knox Co. ,4
,Nemaha Co./h,10
,Pierce Co./d,16
,Saline Co. ,68
Nevada,,
,Lander Co. ,15
,Las Vegas City ,681
,Lyon Co./a,68
New Hampshire,,
,Belknap Co./a,115
,Hillsborough Co. House of Corr.,534
New Jersey,,
,Hudson Co. Corr. Fac.,"1,849"
,"Middlesex Co. Adult Corr. Ctr./g,h,i",951
,Morris Co. ,368
,Salem Co.,267
New Mexico,,
,"Dona Ana Co. Det. Ctr./a,b",831
,Eddy Co. Det. Ctr./a,213
,Los Alamos Co./h,18
,Sandoval Co. ,327
New York,,
,Albany Co./a,622
,Chautauqua Co./a,271
,Columbia Co. ,105
,Lewis Co.,33
,Nassau Co. Corr. Ctr.,"1,497"
,Onondaga Co. Dept. of Corr. - Jamesville ,488
,Onondaga Co. Justice Ctr.,640
,Rockland Co. ,245
,Steuben Co.,175
,Tompkins Co. ,74
,Ulster Co. ,331
,Wayne Co.,152
North Carolina,,
,Buncombe Co./a,394
,"Cabarrus Co./a,b",335
,Chowan Co. ,21
,Forsyth Co.,653
,Gaston Co. ,512
,Greene Co. ,4
,"Lee Co./a,b",105
,Mecklenburg Co.,"2,022"
,"Montgomery Co./g,i",70
,"Moore Co./a,g",126
,Orange Co./a,144
,Pamlico Co.,74
,"Rowan Co./a,b",267
,Sampson Co./i,200
,Vance Co.,151
,Yadkin Co. ,47
North Dakota,,
,Bottineau Co.,4
,"Richland Co./a,b",13
,Stutsman Co. ,69
Ohio,,
,Clark Co.,193
,Erie Co. ,126
,Gallia Co. ,55
,Greene Co. ,245
,Knox Co. ,71
,"Lake Co./a,b",314
,Lakewood City,8
,"Lawrence Co./b,g,i",85
,Mahoning Co. ,365
,Niles City ,3
,Summit Co. & Glenwood Annex,688
,"Tri-Co. Reg. Jail/a,b",158
,Zanesville City/a,40
Oklahoma,,
,Ada City ,4
,Alfalfa Co.,6
,Bristow City/d,3
,"Cherokee Co./a,b",123
,Cotton Co. ,41
,Grady Co.,520
,Kay Co. Det. Ctr./a,170
,Lawton City,65
,"Muskogee Co. & City/a,b",300
,Nowata Co. ,51
,Payne Co.,159
,Woods Co.,17
Oregon,,
,Grant Co.,14
,"Linn Co./a,b",205
,Malheur Co.,5
Pennsylvania,,
,Clarion Co.,84
,"Clinton Co./a,b",293
,Cumberland Co. Prison,399
,Lebanon Co. Prison/b,480
,"Luzerne Co. Corr. Fac./a,b",634
,Monroe Co./a,395
,Potter Co. ,45
South Carolina,,
,Alvin S. Glenn Det. Ctr./a,944
,Chester Co.,87
,Florence Co. ,368
,Greenville Co. ,"1,086"
,Greenwood Co.,167
,"Marion Co./a,b,g,h,i",139
,McCormick Co./a,12
,"Spartanburg Co. Det. Fac./c,d,f",763
,Sumter-Lee Reg. Det. Ctr.,365
,Union Co.,54
South Dakota,,
,Marshall Co. ,1
,Meade Co.,50
,Minnehaha Co.,510
,Walworth Co. ,22
Tennessee,,
,"Anderson Co./c,d,e,f",308
,Benton Co. ,70
,Clay Co. ,25
,Hawkins Co.,185
,Johnson City ,104
,Johnson Co.,132
,Knox Co. ,"1,047"
,Montgomery Co. ,373
,"Polk Co./b,i",140
,Robertson Co.,125
,Rutherford Co. Corr. Work Ctr./b,180
,Scott Co./a,129
,"Sevier Co./b,h",470
,Warren Co. ,253
Texas,,
,"Archer Co./a,b",17
,Bandera Co.,70
,Bastrop Co.,334
,Brazoria Co. ,870
,Burnet Co. ,146
,"Cameron Co./a,b","1,423"
,Collin Co. ,837
,Cooke Co./a,126
,"Dawson Co./a,b,j",38
,Denton Co. ,"1,209"
,"Fort Bend Co./a,b",887
,Freestone Co.,70
,Gregg Co.,727
,Hansford Co. ,4
,Hidalgo Co.,"1,103"
,Hurst City/a,26
,Irving City,36
,"Jefferson Co./a,b",918
,Kerr Co. ,157
,Kimble Co. ,13
,Lamar Co.,158
,Maverick Co. ,220
,McLennan Co. ,"1,025"
,Midland Co.,306
,"Montgomery Co./a,b","1,037"
,Moore Co.,44
,Navarro Co.,186
,Ochiltree Co.,21
,Oldham Co. ,5
,Parker Co./g,392
,"Parmer Co./a,b,g",31
,Randall Co.,358
,Red River Co.,34
,San Jacinto Co.,82
,Schleicher Co. ,8
,Swisher Co.,16
,Taylor Co. ,544
,Terrell Co./a,2
,Terry Co.,84
,Tom Green Co./a,400
,Uvalde Co. ,43
Utah,,
,Cache Co.,290
,Carbon Co. ,80
,Iron Co./a,135
,Juab Co./a,35
,"Washington Co./a,b,h",468
Virginia,,
,"Alexandria City/a,b",250
,"Central Virginia Reg. Jail/b,h",381
,Franklin Co./b,60
,"Middle River Reg. Jail/a,b",551
,"Rappahannock Reg. Jail & Annex/a,b","1,384"
,Roanoke City ,620
,Rockbridge Reg. Jail/b,87
,Rockingham Co. ,333
,Southampton Co.,96
,"Virginia Peninsula Reg. Jail/a,g",409
Washington,,
,Chelan Co. Reg. Justice Ctr. ,303
,"Clallam Co./a,b",114
,"Island Co./a,b",43
,Puyallup City,36
,Skamania Co. ,25
West Virginia,,
,Potomac Highlands Reg. Jail,298
,Southwestern Reg. Jail ,431
,Western Reg. Jail/g,571
Wisconsin,,
,Ashland Co./h,57
,Buffalo Co.,22
,Eau Claire Co. ,221
,La Crosse Co.,172
,"Langlade Co./a,b",75
,Rock Co. ,468
,"Rusk Co./a,b",38
,Waushara Co. ,85
,Winnebago Co.,289
Wyoming,,
,Albany Co. ,46
,Natrona Co. Det. Ctr.,270
,"Sublette Co./a,b",17
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,
c/Agency did not record allegations of nonconsensual sexual acts.,,
d/Agency did not record allegations of abusive sexual contact.,,
e/Agency did not record allegations of staff sexual misconduct.,,
f/Agency did not record allegations of staff sexual harassment.,,
g/Counts of nonconsensual sexual acts were based on substantiated allegations only.,,
h/Counts of staff sexual misconduct were based on substantiated allegations only.,,
i/Counts of nonconsensual sexual acts were based on completed acts only.,,
j/Average daily population was unavailable; the Deaths in Custody Reporting Program population was used in its place.,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2011.",,
