Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: ssvacf0911t12.csv,,,,,,,,,,,,,
"Table 12. Allegations of sexual victimization reported by privately operated jail and prison authorities, by type of victimization, 2009",,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2009",,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 1/8/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 12. Allegations of sexual victimization reported by privately operated jail and prison authorities, by type of victimization, 2009",,,,,,,,,,,,,
,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,
,Houston-Reid Ctr. (GEO),452,1,0,,1,0,,0,0,,0,0
,Lindsey State Jail (CCA) ,"1,027",0,0,,1,1,,0,0,,0,0
,Lockhart Prison Work Program (GEO) ,991,1,0,,1,0,,0,0,,0,0
,"Reeves Co. Det. Complex R1, R2, & R3 (GEO) ","1,342",/,/,,0,0,,1,0,,0,0
,Val Verde Corr. Fac. & Co. Jail,"1,251",1,0,,0,0,,0,0,,0,0
Virginia,,,,,,,,,,,,,
,Lawrenceville Corr. Ctr. (GEO) ,"1,566",1,0,,0,0,,1,0,,2,0
Washington,,,,,,,,,,,,,
,Bishop Lewis House Work Release (Pioneer Human Svs.)/c,63,0,0,,/,/,,1,0,,0,0
CCA - Corrections Corp. of America,,,,,,,,,,,,,
"CEC - Community Education Centers, Inc.",,,,,,,,,,,,,
DC - Dismas Charities (operates as Diersen Charities in New Mexico and Tennessee),,,,,,,,,,,,,
"GEO - The GEO Group, Inc.",,,,,,,,,,,,,
MTC - Management & Training Corp,,,,,,,,,,,,,
/ Not reported.,,,,,,,,,,,,,
a/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,,,,,,,,,,
b/Counts of nonconsensual sexual acts were based on substantiated allegations only.,,,,,,,,,,,,,
c/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,,,,
d/Counts of staff sexual misconduct were based on substantiated allegations only.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2009.",,,,,,,,,,,,,
