Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: ssvacf0911t05.csv,,,,,,,,,,,,,
"Table 5. Allegations of sexual victimization reported by local jail authorities, by type of victimization, 2010",,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2010",,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 1/9/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 5. Allegations of sexual victimization reported by local jail authorities, by type of victimization, 2010",,,,,,,,,,,,,
,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,
,Gwinnett Co. Det. Ctr. ,"2,655",0,0,,1,1,,2,0,,0,0
,Tift Co. ,214,1,0,,0,0,,3,0,,2,0
,Troup Co. Jail ,430,0,0,,0,0,,1,1,,0,0
,Walker Co.,221,1,0,,0,0,,0,0,,0,0
Idaho,,,,,,,,,,,,,
,Ada Co.,971,1,0,,0,0,,0,0,,0,0
,Bannock Co.,255,4,0,,0,0,,1,0,,0,0
,Kootenai Co./a,300,1,1,,/,/,,0,0,,0,0
,Nez Perce Det. Fac.,97,1,0,,0,0,,0,0,,0,0
Illinois,,,,,,,,,,,,,
,Cook Co. ,"9,004",16,1,,0,0,,2,1,,1,0
,Kane Co. ,654,0,0,,0,0,,0,0,,2,0
Indiana,,,,,,,,,,,,,
,Crawford Co. ,58,2,0,,0,0,,0,0,,0,0
,Jefferson Co./g,81,0,0,,0,0,,0,0,,2,0
,"Noble Co./a,b",176,0,0,,/,/,,1,0,,/,/
,"Vanderburgh Co./a,b",623,0,0,,/,/,,1,1,,/,/
Kansas,,,,,,,,,,,,,
,Sedgwick Co. Det. Ctr. ,"1,576",2,1,,0,0,,5,2,,0,0
,Shawnee Co.,495,3,0,,5,3,,3,1,,2,2
Kentucky,,,,,,,,,,,,,
,Fayette Co. Det. Ctr.,"1,251",0,0,,2,2,,3,1,,2,0
,"Louisville Metropolitan/a,b","1,930",2,0,,/,/,,2,1,,/,/
,Pulaski Co. Det. Ctr./g,276,2,0,,0,0,,0,0,,0,0
Louisiana,,,,,,,,,,,,,
,Bossier Parish ,"1,223",0,0,,1,1,,0,0,,0,0
,Caddo Parish Corr. Ctr.,"1,365",0,0,,0,0,,0,0,,1,1
,Calvasieu Parish Corr. Ctr.,"1,238",3,0,,0,0,,0,0,,0,0
,La Salle Management,243,0,0,,0,0,,1,0,,0,0
,Orleans Parish Prison,"3,427",1,0,,2,0,,0,0,,0,0
,Rapides Parish/c,"1,024",0,0,,4,0,,0,0,,0,0
,St. Mary Parish,374,0,0,,0,0,,1,0,,2,0
,St. Tammany Parish ,"1,113",1,0,,2,0,,1,1,,0,0
Maryland,,,,,,,,,,,,,
,Anne Arundel Co. ,878,11,1,,0,0,,0,0,,0,0
,"Baltimore City Det. Ctr./a,b","3,582",4,0,,/,/,,1,0,,/,/
,Baltimore Co.,"1,293",4,0,,3,0,,2,0,,0,0
,Charles Co. Det. Ctr.,433,0,0,,4,4,,0,0,,0,0
,"Howard Co./a,b",293,2,0,,/,/,,0,0,,/,/
,Montgomery Co. Det. Ctr. ,900,1,0,,2,0,,5,0,,2,0
Massachusetts,,,,,,,,,,,,,
,Barnstable Co. ,424,0,0,,1,0,,0,0,,0,0
,Bristol Co.,"1,403",11,4,,8,4,,2,1,,0,0
,Hampden Co.,"1,614",1,0,,2,0,,6,0,,0,0
,Middlesex Co. Billerica House of Corr. ,807,0,0,,1,0,,0,0,,0,0
,Plymouth Co. House of Corr./a,"1,412",1,0,,/,/,,0,0,,0,0
,Suffolk Co. House of Corr. ,"1,456",12,1,,5,0,,3,1,,2,1
Michigan,,,,,,,,,,,,,
,Berrien Co.,361,0,0,,3,0,,0,0,,0,0
,Lapeer Co. ,119,0,0,,1,0,,0,0,,0,0
,"Livingston Co./f,g",254,1,0,,0,0,,0,0,,0,0
,Macomb Co./a,"1,165",1,0,,/,/,,0,0,,0,0
,Oakland Co.,"1,517",3,2,,0,0,,1,1,,0,0
,Wayne Co.,"1,950",8,1,,0,0,,0,0,,0,0
Minnesota,,,,,,,,,,,,,
,"Hennepin Co. Adult Det. Ctr./a,b",685,1,0,,/,/,,0,0,,/,/
,Ramsey Co. Corr. Fac./a,446,1,1,,/,/,,0,0,,1,0
Mississippi,,,,,,,,,,,,,
,Bolivar Co. Corr. Fac./a,7,0,0,,/,/,,0,0,,1,0
,Harrison Co. ,942,1,0,,1,0,,2,1,,0,0
,Lincoln Co.,87,0,0,,0,0,,1,1,,0,0
,Rankin Co. ,411,0,0,,0,0,,1,1,,0,0
Missouri,,,,,,,,,,,,,
,Cass Co./a,103,1,0,,/,/,,0,0,,0,0
,Jackson Co. Det. Ctr.,866,0,0,,1,0,,1,0,,1,0
,McDonald Co. ,36,0,0,,0,0,,1,0,,0,0
,"Pulaski Co./a,f,g,h",61,0,0,,/,/,,1,1,,0,0
,St. Louis Co.,"1,135",1,0,,0,0,,2,0,,0,0
Montana,,,,,,,,,,,,,
,"Yellowstone Co. Det. Fac./a,b,g",379,1,0,,/,/,,0,0,,/,/
Nebraska,,,,,,,,,,,,,
,Douglas Co.,"1,160",1,0,,2,0,,2,0,,4,0
,Lincoln Co.,70,1,0,,1,0,,0,0,,0,0
Nevada,,,,,,,,,,,,,
,Clark Co. Det. Ctr.,"3,211",2,0,,4,0,,8,0,,3,0
,Washoe Co. Det. Ctr. ,"1,151",2,0,,3,0,,0,0,,0,0
New Hampshire,,,,,,,,,,,,,
,"Strafford Co./a,b",455,2,0,,/,/,,2,0,,/,/
,Sullivan Co. ,74,4,0,,1,0,,0,0,,0,0
New Jersey,,,,,,,,,,,,,
,Atlantic Co. ,866,2,0,,2,0,,0,0,,0,0
,Camden Co. Corr. Fac./b,"1,341",3,1,,2,1,,1,0,,/,/
,Hudson Co. Corr. Fac.,"2,000",6,1,,0,0,,3,3,,8,2
,"Middlesex Co. Adult Corr. Ctr./a,b",976,1,0,,/,/,,0,0,,/,/
,Monmouth Co. Corr. Inst./a,"1,054",1,0,,/,/,,0,0,,0,0
,Somerset Co. ,254,1,0,,0,0,,0,0,,0,0
,Union Co.,"1,418",2,0,,0,0,,0,0,,0,0
New Mexico,,,,,,,,,,,,,
,Bernalillo Co. Metropolitan Det. Ctr.,"2,450",2,0,,2,0,,1,0,,0,0
,"Dona Ana Co. Det. Ctr./a,b",792,2,0,,/,/,,0,0,,/,/
New York,,,,,,,,,,,,,
,Franklin Co. ,798,1,1,,0,0,,1,0,,0,0
,Monroe Co. ,"1,479",1,0,,0,0,,1,0,,0,0
,Nassau Co. Corr. Ctr./h,"1,497",1,1,,0,0,,2,0,,0,0
,New York City,"13,023",9,0,,10,1,,27,2,,8,0
,Westchester Co.,"1,406",2,1,,1,1,,1,0,,0,0
North Carolina,,,,,,,,,,,,,
,"Craven Co./a,f",293,2,1,,/,/,,0,0,,0,0
,Mecklenburg Co.,"2,233",3,0,,0,0,,1,0,,0,0
North Dakota,,,,,,,,,,,,,
,"Grand Forks Co. Corr. Ctr./a,b",176,0,0,,/,/,,1,0,,/,/
,Pierce Co. ,130,2,0,,0,0,,0,0,,0,0
Ohio,,,,,,,,,,,,,
,Corr. Ctr. of Northwest Ohio ,532,0,0,,7,1,,12,0,,2,0
,Cuyahoga Co. Corr. Ctr.,"2,095",5,1,,9,0,,7,0,,1,0
,"Franklin Co./a,b","1,915",3,0,,/,/,,0,0,,/,/
,Hamilton Co. ,"1,437",3,0,,5,1,,0,0,,0,0
,Licking Co.,241,0,0,,1,0,,0,0,,0,0
,Lorain Co. ,391,1,0,,2,0,,0,0,,0,0
,Southeastern Ohio Reg. Jail,192,0,0,,1,0,,0,0,,0,0
,Tuscarawas Co./b,94,0,0,,0,0,,1,0,,/,/
Oklahoma,,,,,,,,,,,,,
,McIntosh Co. ,171,0,0,,0,0,,1,0,,0,0
,"Oklahoma Co./a,b","2,281",7,1,,/,/,,1,0,,/,/
,Osage Co.,112,0,0,,0,0,,2,0,,0,0
Oregon,,,,,,,,,,,,,
,Benton Co. ,73,0,0,,0,0,,1,0,,0,0
,Marion Co. ,515,0,0,,2,2,,6,0,,0,0
,Multnomah Co.,"1,242",3,0,,3,0,,9,1,,1,0
,Yamhill Co.,219,0,0,,0,0,,1,0,,0,0
Pennsylvania,,,,,,,,,,,,,
,Berks Co. Prison ,"1,048",1,1,,0,0,,1,0,,0,0
,Bucks Co.,"1,088",0,0,,2,1,,0,0,,0,0
,Dauphin Co. Prison ,943,1,0,,1,0,,0,0,,0,0
,"Lebanon Co. Prison/a,b",453,1,1,,/,/,,0,0,,/,/
,Lehigh Co. ,"1,353",1,0,,0,0,,0,0,,0,0
,Mercer Co. Prison,257,0,0,,1,0,,1,0,,0,0
,Monroe Co./a,383,0,0,,/,/,,2,0,,0,0
,Montgomery Co. ,"1,753",2,0,,0,0,,0,0,,0,0
,Northampton Co. Prison ,795,1,0,,1,0,,0,0,,1,0
,"Schuylkill Co. Prison/a,b",273,0,0,,/,/,,1,1,,/,/
,"York Co. Prison/a,b,c","2,299",3,0,,/,/,,0,0,,/,/
South Carolina,,,,,,,,,,,,,
,Charleston Co./a,"1,738",1,0,,/,/,,0,0,,5,1
,"Greenville Co./a,b","1,174",3,1,,/,/,,0,0,,/,/
,Kershaw Co.,80,1,0,,1,0,,0,0,,0,0
Tennessee,,,,,,,,,,,,,
,Carter Co. ,194,0,0,,0,0,,1,1,,0,0
,Davidson Co. ,"2,429",9,1,,3,2,,9,1,,2,1
,Giles Co.,125,0,0,,0,0,,2,1,,0,0
,Hardin Co. ,122,0,0,,0,0,,1,1,,0,0
,Hickman Co.,104,0,0,,0,0,,2,0,,0,0
,Knox Co. ,"1,068",1,0,,2,1,,0,0,,0,0
,"Maury Co./a,b",266,0,0,,/,/,,1,0,,/,/
,McMinn Co. ,225,1,0,,0,0,,1,0,,0,0
,Montgomery Co./b,365,1,0,,0,0,,0,0,,/,/
,Rutherford Co./a,688,1,0,,/,/,,0,0,,0,0
,Shelby Co. ,"2,699",13,0,,0,0,,0,0,,0,0
Texas,,,,,,,,,,,,,
,Aransas Co.,185,0,0,,0,0,,1,0,,0,0
,Bexar Co.,"4,213",1,0,,1,0,,0,0,,1,1
,Cooke Co.,118,0,0,,0,0,,1,0,,0,0
,Dallas Co./a,"6,790",5,3,,/,/,,0,0,,0,0
,Gregg Co.,770,1,0,,0,0,,0,0,,0,0
,Guadalupe Co.,411,0,0,,0,0,,1,0,,0,0
,"Harris Co./a,b","9,026",17,3,,/,/,,2,2,,/,/
,Hunt Co. ,263,2,0,,0,0,,2,2,,0,0
,Nueces Co./a,916,0,0,,/,/,,0,0,,1,0
,Terry Co.,104,0,0,,0,0,,1,1,,0,0
,Travis Co. ,"2,696",0,0,,0,0,,1,0,,0,0
Utah,,,,,,,,,,,,,
,Davis Co.,651,0,0,,8,2,,0,0,,0,0
,Salt Lake Co./b,"2,149",2,0,,5,0,,0,0,,/,/
,Sevier Co./a,104,1,0,,/,/,,0,0,,0,0
Virginia,,,,,,,,,,,,,
,Fairfax Co. Adult Det. Ctr.,"1,229",0,0,,1,0,,2,0,,0,0
,Hampton City/a,369,0,0,,/,/,,1,0,,0,0
,Hampton Roads Reg. Jail,"1,248",8,1,,0,0,,4,1,,2,0
,Henrico Co.,"1,167",3,0,,2,1,,0,0,,0,0
,Norfolk City ,"1,325",3,0,,3,0,,0,0,,0,0
,Northwestern Reg. Adult Det. Ctr./a,571,0,0,,/,/,,3,0,,0,0
,Riverside Reg. Jail,"1,208",1,0,,0,0,,3,0,,1,0
,Roanoke City ,586,1,0,,0,0,,0,0,,0,0
,Southwest Virginia Reg. Jail ,"1,516",1,0,,0,0,,0,0,,0,0
,Virginia Beach City,"1,374",1,0,,0,0,,2,0,,0,0
Washington,,,,,,,,,,,,,
,"Chelan Co. Reg. Justice Ctr./a,f,g",282,1,0,,/,/,,0,0,,0,0
,Clark Co.,685,0,0,,8,3,,5,0,,1,0
,King Co./a,"2,274",3,0,,/,/,,10,2,,3,0
,"Pierce Co. Det. & Corr. Ctr./a,b","1,301",3,0,,/,/,,0,0,,/,/
,Snohomish Co.,"1,163",0,0,,4,1,,4,0,,1,0
,Spokane Co. (Geiger Corr. Ctr.)/a,546,0,0,,/,/,,1,0,,0,0
,Yakima Co./a,"1,075",1,1,,/,/,,0,0,,0,0
West Virginia,,,,,,,,,,,,,
,Eastern Reg. Jail/a,389,1,0,,/,/,,0,0,,0,0
,Southern Reg. Jail ,467,0,0,,0,0,,0,0,,1,1
Wisconsin,,,,,,,,,,,,,
,Milwaukee Co.,"2,629",1,0,,2,1,,3,0,,0,0
,Shawano Co./a,179,4,1,,/,/,,0,0,,0,0
,Waukesha Co. ,628,1,0,,0,0,,0,0,,0,0
Wyoming,,,,,,,,,,,,,
,Laramie Co./a,177,1,1,,/,/,,2,0,,1,0
/ Not reported.,,,,,,,,,,,,,
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,,,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,,,,,,,,,,
c/Average daily population was unavailable; the Deaths in Custody Reporting Program population was used in its place.,,,,,,,,,,,,,
d/Agency did not record allegations of staff sexual misconduct.,,,,,,,,,,,,,
e/Agency did not record allegations of staff sexual harassment.,,,,,,,,,,,,,
f/Counts of staff sexual misconduct were based on substantiated allegations only.,,,,,,,,,,,,,
g/Counts of nonconsensual sexual acts were based on substantiated allegations only.,,,,,,,,,,,,,
h/Counts of nonconsensual sexual acts were based on completed acts only.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2010.",,,,,,,,,,,,,
