Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: ssvacf0911t10.csv,,,,,,,,,,,,,,,
"Table 10. Allegations of sexual victimization reported by privately operated jail and prison authorities, by type of victimization, 2011",,,,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2011",,,,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,
Date of version: 1/8/14,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"Table 10. Allegations of sexual victimization reported by privately operated jail and prison authorities, by type of victimization, 2011",,,,,,,,,,,,,,,
,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,,,
,Guadalupe Co. Corr. Fac. (GEO) ,554,2,1,,0,0,,1,0,,0,0,,Guadalupe Co. Corr. Fac. (GEO) 
,"Lea Co. Corr. Fac. (GEO)/a,b","1,102",0,0,,/,/,,1,1,,/,/,,"Lea Co. Corr. Fac. (GEO)/a,b"
,New Mexico Women’s Corr. Fac. (CCA),602,0,0,,1,0,,23,0,,0,0,,New Mexico Women's Corr. Fac. (CCA)
,Torrance Co. Det. Fac. (CCA) ,843,0,0,,0,0,,2,0,,0,0,,Torrance Co. Det. Fac. (CCA) 
North Carolina,,,,,,,,,,,,,,,
,Rivers Corr. Inst. (GEO) ,"1,400",0,0,,2,0,,0,0,,0,0,,Rivers Corr. Inst. (GEO) 
Ohio,,,,,,,,,,,,,,,
,"Fannie M. Lewis Comm. Corr. & Treatment Ctr. (Oriana House, Inc.)/a",194,1,0,,/,/,,0,0,,0,0,,"Fannie M. Lewis Comm. Corr. & Treatment Ctr. (Oriana House, Inc.)/a"
,Northeast Ohio Corr. Ctr. (CCA),"2,013",0,0,,2,0,,2,0,,1,0,,Northeast Ohio Corr. Ctr. (CCA)
Oklahoma,,,,,,,,,,,,,,,
,"Carver Corr. Ctr./a,b",276,1,0,,0,0,,1,0,,/,/,,"Carver Corr. Ctr./a,b"
,Cimarron Corr. Fac. (CCA),649,2,0,,6,1,,2,0,,5,1,,Cimarron Corr. Fac. (CCA)
,"David L. Moss Criminal Justice Ctr. (Tulsa Co., CCA)","1,614",1,1,,4,1,,0,0,,0,0,,"David L. Moss Criminal Justice Ctr. (Tulsa Co., CCA)"
,Davis Corr. Fac. (CCA) ,"1,592",5,1,,2,1,,2,1,,3,1,,Davis Corr. Fac. (CCA) 
,Lawton Corr. Fac. (GEO),"2,478",8,0,,3,0,,1,0,,0,0,,Lawton Corr. Fac. (GEO)
Pennsylvania,,,,,,,,,,,,,,,
,"Capitol Pavilion Comm. Corr. Ctr. (CEC)/a,b",90,0,0,,/,/,,1,0,,/,/,,"Capitol Pavilion Comm. Corr. Ctr. (CEC)/a,b"
,George W. Hill Corr. Fac. (CEC)/a,"1,876",4,0,,/,/,,0,0,,0,0,,George W. Hill Corr. Fac. (CEC)/a
,Joseph Coleman Ctr.,283,1,0,,0,0,,0,0,,0,0,,Joseph Coleman Ctr.
Tennessee,,,,,,,,,,,,,,,
,Hardeman Co. (CCA) ,"1,966",7,0,,1,0,,6,1,,2,0,,Hardeman Co. (CCA) 
,Metro-Davidson Co. Det. Fac. (CCA) ,"1,116",1,0,,1,0,,1,0,,0,0,,Metro-Davidson Co. Det. Fac. (CCA) 
,Silverdale Corr. Fac. (CCA),842,2,0,,4,1,,3,1,,7,2,,Silverdale Corr. Fac. (CCA)
,South Central Corr. Ctr. (CCA) ,"1,630",3,0,,1,0,,6,0,,2,0,,South Central Corr. Ctr. (CCA) 
,Whiteville Corr. Fac. (CCA),"1,493",2,0,,3,1,,5,0,,3,1,,Whiteville Corr. Fac. (CCA)
Texas,,,,,,,,,,,,,,,
,Dalby Corr. Ctr. (MTC) ,"1,903",0,0,,0,0,,1,1,,0,0,,Dalby Corr. Ctr. (MTC) 
,Eden Corr. Ctr. (CCA),"1,548",0,0,,0,0,,3,0,,1,0,,Eden Corr. Ctr. (CCA)
,Houston-Reid Ctr. (GEO),505,0,0,,1,0,,0,0,,0,0,,Houston-Reid Ctr. (GEO)
,Liberty Co. (CEC),118,0,0,,0,0,,2,1,,0,0,,Liberty Co. (CEC)
,"Reeves Co., Complex 2 (GEO)","2,374",0,0,,0,0,,3,3,,2,2,,"Reeves Co., Complex 2 (GEO)"
,"Reeves Co., Det. Complex R1, R2, & R3 (GEO) ","1,335",0,0,,0,0,,1,0,,0,0,,"Reeves Co., Det. Complex R1, R2, & R3 (GEO) "
,Riverside Treatment Ctr. (VOA)/a,89,0,0,,/,/,,1,0,,0,0,,Riverside Treatment Ctr. (VOA)/a
,Val Verde Corr. Fac. & Co. Jail,"1,452",0,0,,0,0,,1,1,,0,0,,Val Verde Corr. Fac. & Co. Jail
Virginia,,,,,,,,,,,,,,,
,Lawrenceville Corr. Ctr. (GEO) ,"1,572",1,0,,0,0,,0,0,,0,0,,"Lawrenceville Corr. Ctr. (GEO, CCA) "
CCA - Corrections Corp. of America,,,,,,,,,,,,,,,CCA - Corrections Corp. of America
CEC - Community Education Centers Inc.,,,,,,,,,,,,,,,"CCCS - Community Counseling & Corr. Services, Inc."
"GEO - The GEO Group, Inc.",,,,,,,,,,,,,,,CEC - Community Education Centers Inc.
MTC - Management & Training Corp.,,,,,,,,,,,,,,,DC - Dismas Charities (operates as Diersen Charities in New Mexico and Tennessee)
VOA - Volunteers of America,,,,,,,,,,,,,,,DOC - Department of Corrections
/ Not reported.,,,,,,,,,,,,,,,EHCA - Education & Health Centers of America
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,,,,,,"GEO - The GEO Group, Inc."
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,,,,,,,,,,,,MTC - Management & Training Corp.
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2011.",,,,,,,,,,,,,,,VOA - Volunteers of America
,,,,,,,,,,,,,,,/ Not reported
,,,,,,,,,,,,,,,a/ Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.
,,,,,,,,,,,,,,,b/ Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.
,,,,,,,,,,,,,,,"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2009-2011."
