Bureau of Justice Statistics,,
Filename: ssvacf0911t08.csv,,
"Table 8. Local jail authorities with no allegations of sexual victimization, 2010",,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,
"Data source: Survey of Sexual Violence, 2010",,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 1/8/14,,
,,
 ,,
"Table 8. Local jail authorities with no allegations of sexual victimization, 2010",,
Jurisdiction and facility,,Average daily population
,Wayne Co. Det. Ctr.,179
Louisiana,,
,Ascension Parish ,446
,Avoyelles Parish ,"1,225"
,Beauregard Parish,179
,Claiborne Parish Det. Fac./g,645
,East Baton Rouge Parish Prison/h,"1,631"
,East Feliciana Parish Prison ,146
,"Franklin Parish Det. Ctr./a,b",798
,Iberville Parish ,115
,Jefferson Parish ,"1,069"
,La Salle Parish,12
,Lafourche Parish Det. Ctr. ,205
,Madison Parish Det. Ctr. ,880
,Morehouse Parish ,514
,Opelousas City ,69
,"Sabine Parish Det. Ctr./a,b,i",139
,St. Bernard Parish Prison,265
,Tangipahoa Parish,525
,Webster Parish ,490
Maine,,
,Oxford Co. ,5
,"Penobscot Co./a,b",166
Maryland,,
,Dorchester Co. ,166
,Prince George’s Co. Corr. Ctr. ,"1,093"
,Queen Anne’s Co. Det. Ctr./b,91
,Somerset Co. Det. Ctr. ,100
,"Wicomico Co./a,b,d",502
Massachusetts,,
,Essex Co. Corr. Fac./b,"1,211"
,"Hampshire Co./a,b",278
,"Worcester Co. Jail & House of Corr./a,b","1,450"
Michigan,,
,Branch Co./a,110
,Calhoun Co./a,539
,Clinton Co.,183
,"Gogebic Co./a,b",28
,Iron Co. ,35
,Kent Co./a,"1,075"
,Midland Co.,184
,"Newaygo Co./a,b",212
,Osceola Co.,64
,Ottawa Co. ,330
,St. Clair Co.,443
,Van Buren Co.,97
Minnesota,,
,Anoka Co.,200
,Beltrami Co. ,102
,Clay Co./a,74
,Hennepin Co. Adult Corr. Fac.,458
,"Northwest Reg. Corr. Ctr./a,b",123
,"Olmstead Co./a,c,h",170
,"Rice Co./a,b",46
,Scott Co.,103
,Sibley Co. ,10
,Steele Co. Det. Ctr. ,72
,Wadena Co. ,21
Mississippi,,
,Choctaw Co.,31
,Coahoma Co.,69
,Hinds Co./a,"1,075"
,Holmes-Humphreys Co. Reg. Corr. Fac. ,319
,Jefferson Davis Co.,35
,Kemper-Neshoba Co. Reg. Corr. Fac. ,343
,Lafayette Co.,160
,Panola Co. ,121
,Stone Co. Reg. Corr. Fac.,404
,"Webster Co./a,b",10
,Winston-Choctaw Reg. Corr. Fac.,278
Missouri,,
,Bates Co.,100
,Boone Co.,220
,Cape Giradeau Co.,189
,Chariton Co. ,13
,Clark Co.,17
,Maries Co. ,12
,Morgan Co. ,118
,Pemiscot Co. ,85
,"Phelps Co./a,c,h",133
,"St. Clair Co./a,b",98
,Sullivan Co. ,1
,West Plains City/c,1
,"Wright Co./c,d,h",24
Montana,,
,Glacier Co.,16
,Lincoln Co.,23
,Missoula Co. ,307
,"Wheatland Co./a,b,g",3
Nebraska,,
,Cherry Co. ,8
,"Dawes Co./a,b",16
,Dundy Co.,1
,"Platte Co./a,b,c,h",95
,Sarpy Co./a,147
,"Valley Co./b,h",2
Nevada,,
,Henderson Det. Ctr./b,350
,"Nye Co./a,b",3
New Hampshire,,
,Hillsborough Co. House of Corr.,587
New Jersey,,
,Burlington Co. ,522
,Cape May Co. ,244
,Essex Co. Corr. Fac. ,"2,293"
,Mercer Co. Corr. Ctr.,813
,Passaic Co.,"1,046"
,Warren Co. Dept. of Corr.,136
New Mexico,,
,Artesia City ,4
,Eddy Co. Det. Ctr. ,231
,Luna Co. Det. Ctr./g,394
,McKinley Co./d,220
,Roosevelt Co. Det. Ctr./a,95
New York,,
,Albany Co. ,720
,Chemung Co./a,181
,Oneida Co. ,448
,Onondaga Co. Justice Ctr./a,621
,Rensselaer Co. ,228
,Saratoga Co. ,171
,"Schoharie Co./a,b",45
,St. Lawrence Co. ,139
,Suffolk Co.,"1,732"
,Tioga Co.,83
,Ulster Co. ,334
,Warren Co./a,155
,Washington Co. ,118
North Carolina,,
,Bladen Co./a,81
,Brunswick Co./h,266
,Buncombe Co. ,465
,Burke Co./f,41
,Carteret Co. ,128
,Caswell Co.,"1,241"
,"Cumberland Co./a,b",588
,"Durham Co. Det. Ctr./a,b",583
,Iredell Co.,337
,"Jones Co./a,b,c",23
,Lee Co.,101
,Lincoln Co.,131
,Montgomery Co./a,80
,Nash Co. ,232
,Onslow Co./a,199
,Pasquotank Co./a,127
,Person Co./a,104
,Rutherford Co. ,153
,Vance Co.,171
,"Wake Co./a,b","1,353"
,Wayne Co.,227
North Dakota,,
,Cass Co./g,200
Ohio,,
,Ashtabula Co.,58
,Butler Co. ,922
,Clark Co.,203
,Fayette Co.,40
,"Franklin Co. Comm. Based Corr. Fac./a,b",184
,Lake Co. ,313
,Lawrence Co./g,70
,Mayfield Heights City,1
,Medina Co. ,187
,Multi-Co. Corr. Ctr. ,173
,"Noble Co./a,b",18
,Shelby Co. ,78
,Washington Co./a,113
,Wood Co. Justice Ctr.,144
Oklahoma,,
,"Beckham Co./a,b,g",100
,Carnegie City,5
,"Carter Co./a,b",165
,"Comanche Co. Det. Ctr./a,b",283
,Grady Co.,545
,Grant Co.,31
,Kay Co. Det. Ctr.,145
,"Logan Co./a,c",154
,McClain Co.,63
,Murray Co. ,42
,Sequoyah Co./a,108
,Tillman Co.,89
Oregon,,
,Douglas Co.,224
,Klamath Co./a,84
,Malheur Co./g,88
,Polk Co. ,142
Pennsylvania,,
,"Allegheny Co./a,b","2,672"
,"Armstrong Co./a,b,e",151
,Beaver Co. ,340
,Bedford Co. Prison ,165
,"Blair Co. Prison/a,b",281
,Cambria Co.,486
,"Fayette Co. Prison/a,b,d",305
,Jefferson Co./a,110
,Lancaster Co. Prison/a,"1,148"
,Lawrence Co. Corr. ,229
,Mifflin Co.,99
,Potter Co. ,26
,Snyder Co. Prison,97
South Carolina,,
,Bamberg Co./a,27
,"Cherokee Co./c,h",165
,Chesterfield Co. ,92
,Darlington Co./a,237
,Florence Co. ,351
,"Horry Co./a,b",635
,Jasper Co./h,172
,Lancaster Co.,150
,Orangeburg Calhoun Original Det. Ctr.,292
,Pickens Co. Prison ,91
,Sumter-Lee Reg. Det. Ctr./a,363
South Dakota,,
,Brule Co./a,12
,Codington Co./c,56
,Minnehaha Co.,518
Tennessee,,
,"Bradley Co./a,b",388
,Coffee Co. ,311
,Decatur Co.,24
,Dickson Co.,245
,Franklin Co. ,130
,Gibson Co. ,150
,Grainger Co. ,91
,Hamilton Co./a,513
,Macon Co./h,125
,Marshall Co. ,56
,Monroe Co. ,188
,Overton Co.,151
,Scott Co.,138
,Shelby Co. Govt. Div. of Corr. ,"2,600"
,Tipton Co. ,135
,Unicoi Co. ,55
,Weakley Co.,87
,Williamson Co. ,271
Texas,,
,Bastrop Co.,326
,Bee Co.,100
,Brooks Co. ,24
,Cameron Co.,"1,267"
,Cass Co. ,119
,"Coryell Co./a,b",81
,Crockett Co. ,0
,Dallam Co. ,35
,Dawson Co./b,36
,Denton Co. ,"1,199"
,Dewitt Co. ,80
,"El Paso Co./a,b","2,103"
,Fannin Co./a,366
,Hardin Co. ,159
,Harrison Co. ,173
,Henderson Co.,304
,Hidalgo Co.,"1,217"
,Hill Co. ,147
,Hood Co./c,165
,Jefferson Co.,910
,"Keller City/a,b",2
,Kleberg Co./g,100
,"Matagorda Co./a,b",177
,Menard Co. ,5
,Midland Co.,335
,Montgomery Co. ,978
,San Patricio Co. ,194
,"Scurry Co./a,b",48
,"Shelby Co./c,d,h",55
,Swisher Co.,15
,"Tarrant Co./a,b","3,149"
,Taylor Co./c,490
,Tom Green Co.,412
,Van Zandt Co.,155
,Washington Co. ,107
,Williamson Co. ,651
,"Winkler Co./a,b",90
Utah,,
,"Box Elder Co./a,b",122
,Juab Co. ,30
,San Juan Co. ,87
,"Washington Co./a,b,h",471
Virginia,,
,Albemarle Charlottesville Reg. Jail,458
,Appomattox Co. ,29
,Blue Ridge Reg. Jail ,"1,014"
,Botetourt Co.,85
,Central Virginia Reg. Jail ,356
,Chesapeake City,"1,037"
,Chesterfield Co. ,318
,Fauquier Co. ,110
,Henry Co.,170
,"Loudoun Co./a,b",193
,Newport News Dept. of Adult Corr./a,148
,Peumansend Creek Reg. Jail/a,213
,Pittsylvania Co. ,119
,Portsmouth ,418
,Prince William - Manassas Reg. Adult Det.,860
,"Rappahannock Reg. Jail & Annex/a,b","1,387"
,Richmond City,"1,402"
,Southampton Co.,84
Washington,,
,"Asotin Co./f,i",54
,"Clallam Co./a,b",119
,"Franklin Co./a,b",178
,Grays Harbor Co. ,142
,Olympia City ,47
,Skagit Co. ,243
West Virginia,,
,Bluefield City ,5
,McDowell Co./a,4
,"Western Reg. Jail/c,d,h",538
Wisconsin,,
,"Barron Co. Justice Ctr./a,b",130
,"Fond du Lac Co./a,b",295
,La Crosse Co.,173
,Langlade Co. ,85
,Oneida Co. ,156
,Outagamie Co.,365
,Ozaukee Co.,223
,Racine Co. ,702
,"Richland Co./a,b",33
,Sauk Co. ,228
,Sawyer Co. ,77
,St. Croix Co.,96
Wyoming,,
,"Natrona Co. Det. Ctr./a,b",293
,Park Co./a,63
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,
c/Counts of nonconsensual sexual acts were based on substantiated allegations only.,,
d/Counts of nonconsensual sexual acts were based on completed acts only.,,
e/Agency did not record allegations of nonconsensual sexual acts.,,
f/Agency did not record allegations of abusive sexual contact.,,
g/Average daily population was unavailable; the Deaths in Custody Reporting Program population was used in its place.,,
h/Counts of staff sexual misconduct were based on substantiated allegations only.,,
i/Agency did not record allegations of staff sexual harassment.,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2010.",,
