Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt17.csv,,,,,,,,,,
"Table 17. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2014",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2014",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 17. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2014",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,Oklahoma Co./b,"2,366",16,0,5,0,7,0,/,/
,Tulsa Co.,"1,765",0,0,0,0,0,0,0,0
Oregon,,,,,,,,,,
,Multnomah Co.,"1,183",1,0,3,3,4,0,4,0
Pennsylvania,,,,,,,,,,
,Allegheny Co./b,"2,397",2,0,0,0,0,0,/,/
,Berks Co./a,"1,187",11,0,/,/,4,0,1,0
,Bucks Co.,"1,021",3,0,0,0,0,0,0,0
,Dauphin Co.,"1,055",1,0,5,3,8,0,4,0
,Lackawanna Co./a,"1,101",8,0,/,/,2,0,2,0
,Lancaster Co.,997,5,0,0,0,0,0,0,0
,Lehigh Co.,"1,326",0,0,0,0,2,0,0,0
,"Montgomery Co./a,b","2,215",14,0,/,/,6,0,/,/
,Philadelphia Prison System/a,"9,564",47,0,/,/,5,0,0,0
,York Co.,"2,322",0,0,2,2,1,0,2,2
South Carolina,,,,,,,,,,
,Alvin S. Glenn Det. Ctr.,883,2,0,2,0,2,0,2,0
,Charleston Co.,"1,217",0,0,1,1,0,0,2,0
,Greenville Co.,"1,392",1,0,0,0,2,0,0,0
South Dakota,,,,,,,,,,
,Minnehaha Co.,560,0,0,3,1,0,0,0,0
Tennessee,,,,,,,,,,
,Davidson Co./c,"1,907",9,0,18,2,11,0,6,0
,Knox Co.,"1,170",2,0,2,0,2,0,3,0
,Shelby Co.,"2,408",6,0,10,0,23,0,16,0
,Shelby Co. Div. of Corr.,"2,199",13,3,12,3,2,0,2,1
Texas,,,,,,,,,,
,Bexar Co.,"4,039",12,1,11,0,9,0,11,0
,Cameron Co.,"1,241",3,0,0,0,0,0,0,0
,Dallas Co.,"5,700",17,2,84,6,0,0,8,0
,Denton Co./b,"1,100",0,0,0,0,0,0,/,/
,El Paso Co.,"2,305",1,0,1,1,0,0,0,0
,Harris Co./a,"8,500",62,1,/,/,16,0,18,0
,Hidalgo Co.,"1,093",0,0,0,0,0,0,0,0
,Lubbock Co.,"1,197",22,0,0,0,0,0,0,0
,Montgomery Co.,"1,114",1,0,0,0,0,0,0,0
,Tarrant Co./a,"3,240",0,0,/,/,0,0,0,0
,Travis Co.,"2,346",3,0,19,4,14,0,7,0
Utah,,,,,,,,,,
,Salt Lake Co.,"2,110",1,1,16,7,3,0,2,0
Virginia,,,,,,,,,,
,Blue Ridge Reg’l Jail,"1,165",2,0,1,0,4,0,0,0
,Chesapeake City,"1,051",0,0,6,0,1,0,0,0
,Fairfax Co.,"1,193",1,0,1,0,0,0,1,0
,"Henrico Co./a,b","1,264",0,0,/,/,12,1,/,/
,Norfolk City,"1,360",0,0,4,0,3,0,0,0
,Rappahannock Reg’l Jail/d,"1,459",2,0,/,/,0,0,14,3
,"Richmond City/a,b","1,162",1,0,/,/,0,0,/,/
,"Riverside Reg’l Jail/a,b","1,464",7,0,/,/,13,3,/,/
,Southwest Virginia Reg’l Jail,"1,783",0,0,1,0,0,0,1,0
,Virginia Beach,"1,138",12,1,6,0,1,0,0,0
Washington,,,,,,,,,,
,King Co./a,"2,035",15,0,/,/,9,1,5,0
,Snohomish Co. Jail,"1,028",4,0,8,1,4,0,2,0
West Virginia,,,,,,,,,,
,Western Reg’l Jail,554,6,0,15,0,15,0,2,0
Wisconsin,,,,,,,,,,
,Milwaukee Co./a,935,3,0,/,/,4,0,/,/
,Milwaukee Co. House of Corr.,"1,522",0,0,0,0,0,0,3,3
Wyoming,,,,,,,,,,
,"Natrona Co./a,b",263,0,0,/,/,0,0,/,/
"Note: Includes the largest jails in 45 states and the District of Columbia and jail jurisdictions with an average daily population of 1,000 or more inmates. Excludes data for five states with combined prison-and-jail systems: Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Includes large jail data for Alaska though it also operates a combined prison-and-jail system. See Terms and definitions for information on types of victimization.",,,,,,,,,,
/Not reported.,,,,,,,,,,
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,,,,,,,
c/Counts of nonconsensual sexual acts were based on completed acts only.,,,,,,,,,,
d/Allegations of abusive sexual contact were not recorded.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2014.",,,,,,,,,,
