Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt18.csv,,,,,,,,,,
"Table 18. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2013",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2013",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 18. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2013",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
Oregon,,,,,,,,,,
,Multnomah Co.,"1,233",0,0,5,3,9,0,0,0
Pennsylvania,,,,,,,,,,
,Allegheny Co.,"2,552",6,0,0,0,0,0,0,0
,Berks Co.,"1,190",2,1,0,0,3,0,1,0
,Bucks Co.,"1,134",0,0,1,1,1,1,1,1
,Lancaster Co.,957,1,0,0,0,1,0,0,0
,Lehigh Co.,"1,336",0,0,0,0,1,0,0,0
,"Montgomery Co./a,b","2,241",2,0,/,/,0,0,/,/
,Philadelphia Prison System/a,"8,251",17,0,/,/,1,0,0,0
,York Co.,"2,387",2,0,5,1,0,0,4,2
South Carolina,,,,,,,,,,
,Charleston Co.,"1,366",0,0,0,0,0,0,2,0
,Greenville Co.,"1,252",0,0,0,0,0,0,0,0
South Dakota,,,,,,,,,,
,Minnehaha Co.,546,6,0,2,0,0,0,0,0
Tennessee,,,,,,,,,,
,Davidson Co./c,"2,019",11,0,21,2,22,2,13,0
,"Shelby Co./a,b","2,383",27,0,/,/,7,0,/,/
,Shelby Co. Div. of Corr.,"2,456",14,2,4,1,0,0,6,1
Texas,,,,,,,,,,
,Bexar Co.,"3,679",5,0,2,0,33,0,15,0
,"Cameron Co./a,b",910,0,0,/,/,0,0,/,/
,Dallas Co./a,"5,950",27,0,/,/,3,0,1,0
,Denton Co.,"1,147",0,0,0,0,0,0,0,0
,El Paso Co.,"2,350",3,3,9,4,0,0,0,0
,Harris Co./a,"9,091",22,0,/,/,15,3,1,0
,Hidalgo Co.,"1,097",0,0,0,0,0,0,0,0
,Lubbock Co.,"1,228",0,0,2,0,1,0,0,0
,Montgomery Co.,"1,103",0,0,0,0,0,0,0,0
,Tarrant Co./a,"3,254",0,0,/,/,0,0,0,0
,Travis Co.,"2,345",10,0,12,5,4,0,3,0
Utah,,,,,,,,,,
,Salt Lake Co.,"2,036",0,0,12,6,0,0,1,1
Virginia,,,,,,,,,,
,Blue Ridge Reg’l Jail,"1,165",0,0,2,1,2,0,6,0
,Chesapeake City,"1,144",2,0,0,0,0,0,0,0
,Fairfax Co.,"1,221",0,0,0,0,0,0,0,0
,Hampton Roads Reg’l Jail,"1,250",0,0,0,0,0,0,0,0
,Henrico Co.,658,0,0,0,0,0,0,0,0
,Norfolk City,"1,430",0,0,5,0,0,0,0,0
,Rappahannock Reg’l Jail/d,"1,436",6,0,/,/,10,0,14,2
,Richmond City,"1,334",0,0,0,0,0,0,0,0
,"Riverside Reg’l Jail/a,b","1,408",5,0,/,/,2,0,/,/
,"Southwest Virginia Reg’l Jail/a,b","1,746",10,0,0,0,1,0,/,/
,Virginia Beach,"1,587",0,0,0,0,0,0,0,0
Washington,,,,,,,,,,
,King Co./a,"1,960",12,2,/,/,8,0,2,0
,Snohomish Co.,"1,170",2,1,6,4,5,2,0,0
West Virginia,,,,,,,,,,
,North Central Reg’l Jail,542,6,0,1,0,5,0,3,0
Wisconsin,,,,,,,,,,
,Milwaukee Co.,820,8,0,0,0,1,0,0,0
,Milwaukee Co. House of Corr.,"1,659",0,0,0,0,1,0,0,0
Wyoming,,,,,,,,,,
,"Natrona Co./a,b",243,0,0,/,/,0,0,/,/
"Note: Includes the largest jails in 45 states and the District of Columbia and jail jurisdictions with an average daily population of 1,000 or more inmates. Excludes data for five states with combined prison-and-jail systems: Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Includes large jail data for Alaska though it also operates a combined prison-and-jail system. See Terms and definitions for information on types of victimization.",,,,,,,,,,
/Not reported.,,,,,,,,,,
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,,,,,,,
c/Counts of nonconsensual sexual acts were based on completed acts only.,,,,,,,,,,
d/Allegations of abusive sexual contact were not recorded.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2013.",,,,,,,,,,
