Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt13.csv,,,,,,,,,,
"Table 13. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2018",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics Survey of Sexual Victimization, 2018; and Mortality in Correctional Institutions, 2017",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 13. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2018",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,Charleston Co.,"1,169",12,1,0,0,5,1,5,0
,Greenville Co./c,"1,355",/,/,/,/,/,/,/,/
South Dakota,,,,,,,,,,
,Pennington Co.,656,16,0,7,3,0,0,0,0
Tennessee,,,,,,,,,,
,Davidson Co.,"1,369",4,0,14,2,16,0,5,0
,Knox Co./a,"1,618",4,0,/,/,3,0,3,0
,Shelby Co.,"2,829",12,0,11,0,0,0,0,0
,Shelby Co. Div. of Corr.,"1,951",10,0,9,0,6,0,29,0
Texas,,,,,,,,,,
,Bexar Co.,"4,400",16,0,6,1,6,0,7,0
,Cameron Co.,"1,149",1,0,0,0,0,0,0,0
,Collin Co.,"1,015",3,1,0,0,1,1,0,0
,Dallas Co.,"4,944",35,0,0,0,0,0,1,0
,Denton Co.,"1,190",2,0,2,0,1,0,1,0
,El Paso Co.,"2,358",1,0,7,0,2,0,0,0
,Galveston Co.,"1,105",2,0,0,0,1,0,0,0
,Harris Co.,"9,482",44,0,63,0,4,3,3,1
,Hidalgo Co.,"1,072",2,0,1,0,0,0,0,0
,Lubbock Co.,"1,190",2,0,3,0,1,0,0,0
,Tarrant Co.,"3,805",5,2,13,3,26,3,19,0
,Travis Co.,"2,378",1,0,13,5,19,0,7,1
Utah,,,,,,,,,,
,Salt Lake Co.,"2,323",6,0,7,4,4,0,1,0
Virginia,,,,,,,,,,
,Blue Ridge Reg’l Jail,"1,146",1,0,3,0,2,0,14,0
,Chesapeake City,831,0,0,7,1,5,0,4,0
,Fairfax Co.,977,0,0,0,0,0,0,1,1
,"Hampton Roads Reg’l Jail/a,b","1,085",1,1,/,/,1,1,/,/
,Henrico Co.,"1,393",1,0,16,4,3,0,11,1
,Norfolk City,"2,027",4,0,1,0,4,0,1,0
,Rappahannock Reg’l Jail,"1,602",0,0,5,0,5,1,7,0
,Riverside Reg’l Jail,"1,449",1,1,7,1,1,0,1,0
,Virginia Beach,"1,222",4,0,4,0,20,0,13,0
Washington,,,,,,,,,,
,King Co.,"2,042",14,0,5,1,15,0,4,0
,"Pierce Co./a,b","1,100",0,0,/,/,0,0,/,/
West Virginia,,,,,,,,,,
,North Central Reg’l Jail,694,0,0,0,0,0,0,0,0
Wisconsin,,,,,,,,,,
,Milwaukee Co. House of Corr.,"1,196",1,0,18,1,3,1,3,0
Wyoming,,,,,,,,,,
,Natrona Co./c,264,/,/,/,/,/,/,/,/
"Note: Includes the largest jails in 45 states and the District of Columbia and jail jurisdictions with an average daily population of 1,000 or more inmates. Excludes data for five states with combined prison-and-jail systems: Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Includes large jail data for Alaska though it also operates a combined prison-and-jail system. See Terms and definitions for information on types of victimization.",,,,,,,,,,
/Not reported. ,,,,,,,,,,
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts. ,,,,,,,,,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct. ,,,,,,,,,,
c/An accurate average daily population was unavailable. The population from the Mortality in Correctional Institutions was used.,,,,,,,,,,
"Source: Bureau of Justice Statistics Survey of Sexual Victimization, 2018; and Mortality in Correctional Institutions, 2017. ",,,,,,,,,,
