Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt19.csv,,,,,,,,,,
"Table 19. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2012",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2012; and Mortality in Correctional Institutions, 2011",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 19. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2012",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,Cass Co./a,196,0,0,/,/,0,0,0,0
Ohio,,,,,,,,,,
,Cuyahoga Co.,"2,119",4,0,10,3,13,0,0,0
,Franklin Co.,"1,805",6,1,3,0,3,1,0,0
,Hamilton Co.,"1,434",0,0,1,0,1,0,0,0
Oklahoma,,,,,,,,,,
,Oklahoma Co./a,"2,194",4,0,/,/,2,0,0,0
,Tulsa Co./a,"1,650",6,2,/,/,0,0,0,0
Oregon,,,,,,,,,,
,Multnomah Co.,"1,272",0,0,1,0,7,1,1,0
Pennsylvania,,,,,,,,,,
,Allegheny Co.,"2,894",3,0,3,1,0,0,2,1
,Berks Co./a,"1,115",6,1,/,/,0,0,1,0
,Bucks Co.,768,4,0,0,0,0,0,0,0
,"Lackawanna Co./a,b",930,1,0,/,/,0,0,/,/
,Lancaster Co.,"1,196",2,0,0,0,2,0,0,0
,Lehigh Co.,"1,366",0,0,0,0,0,0,0,0
,Montgomery Co.,"2,122",8,0,0,0,2,0,0,0
,"Philadelphia Prison System/a,b","8,091",16,0,/,/,1,0,/,/
,York Co.,"2,616",1,0,4,1,1,0,8,0
South Carolina,,,,,,,,,,
,Charleston Co.,"1,451",0,0,0,0,0,0,1,1
,Greenville Co.,"1,316",1,0,0,0,0,0,0,0
South Dakota,,,,,,,,,,
,Minnehaha Co./h,570,0,0,/,/,0,0,0,0
Tennessee,,,,,,,,,,
,Davidson Co./g,"2,177",17,0,20,7,17,0,4,0
,Knox Co.,845,1,0,0,0,0,0,0,0
,Shelby Co./a,"2,542",34,0,/,/,9,0,0,0
,Shelby Co. Div. of Corr.,"2,482",6,0,3,0,7,0,4,0
Texas,,,,,,,,,,
,Bexar Co.,"3,591",3,0,5,0,25,0,6,0
,Cameron Co.,915,0,0,0,0,0,0,0,0
,"Collin Co./e,f,g",925,0,0,0,0,0,0,0,0
,Dallas Co.,"6,088",5,0,0,0,2,0,0,0
,Denton Co.,"1,204",0,0,0,0,0,0,0,0
,El Paso Co.,"2,358",0,0,1,1,0,0,0,0
,Harris Co./a,"8,800",15,0,/,/,3,1,0,0
,Hidalgo Co.,"1,097",0,0,0,0,0,0,0,0
,"Lubbock Co./a,b","1,092",0,0,/,/,0,0,/,/
,Montgomery Co.,923,0,0,0,0,0,0,0,0
,"Tarrant Co./a,b","3,269",0,0,/,/,0,0,/,/
,Travis Co.,"2,263",5,2,13,4,8,0,2,0
Utah,,,,,,,,,,
,Salt Lake Co.,"2,183",1,0,17,7,1,0,0,0
Virginia,,,,,,,,,,
,Blue Ridge Reg’l Jail,"1,229",1,0,0,0,1,0,0,0
,Chesapeake City,"1,151",0,0,0,0,0,0,1,0
,Fairfax Co.,"1,280",1,0,0,0,0,0,0,0
,Hampton Roads Reg’l Jail,"1,250",7,0,5,0,3,1,2,0
,Henrico Co.,"1,216",5,1,11,3,1,0,1,0
,Norfolk City,"1,393",0,0,5,1,3,3,0,0
,"Rappahannock Reg’l Jail/a,b,i","1,396",0,0,/,/,0,0,/,/
,Richmond City,"1,369",0,0,0,0,0,0,0,0
,"Riverside Reg’l Jail/a,b","1,400",4,0,/,/,4,2,/,/
,"Southwest Virginia Reg’l Jail/a,b","1,682",0,0,/,/,1,0,/,/
,"Virginia Beach/a,b","1,513",8,0,/,/,2,0,/,/
Washington,,,,,,,,,,
,King Co./a,"1,946",4,0,/,/,2,0,1,0
,"Pierce Co./a,b","1,257",0,0,/,/,8,0,/,/
,Snohomish Co.,"1,142",2,0,3,0,3,0,2,0
West Virginia,,,,,,,,,,
,North Central Reg’l Jail/b,639,0,0,0,0,2,1,/,/
,Western Reg’l Jail/f,645,0,0,0,0,1,0,0,0
Wisconsin,,,,,,,,,,
,Milwaukee Co.,804,0,0,1,0,0,0,0,0
Wyoming,,,,,,,,,,
,"Natrona Co./a,b",278,0,0,/,/,0,0,/,/
"Note: Includes the largest jails in 45 states and the District of Columbia and jail jurisdictions with an average daily population of 1,000 or more inmates. Excludes data for five states with combined prison-and-jail systems: Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Includes large jail data for Alaska though it also operates a combined prison-and-jail system. See Terms and definitions for information on types of victimization.",,,,,,,,,,
/Not reported.,,,,,,,,,,
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,,,,,,,
c/An accurate average daily population was unavailable. The population from the Mortality in Correctional Institutions was used.,,,,,,,,,,
"d/An accurate average daily population was unavailable. The number held on December 31, 2012, was used.",,,,,,,,,,
e/Counts of staff sexual misconduct were based on substantiated incidents only.,,,,,,,,,,
f/Counts of nonconsensual sexual acts were based on substantiated incidents only.,,,,,,,,,,
g/Counts of nonconsensual sexual acts were based on completed acts only.,,,,,,,,,,
h/Allegations of abusive sexual contact were not recorded.,,,,,,,,,,
i/Allegations of staff sexual misconduct were not recorded.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2012; and Mortality in Correctional Institutions, 2011.",,,,,,,,,,
