Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt16.csv,,,,,,,,,,
"Table 16. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2015",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2015",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 16. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2015",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,Multnomah Co.,"1,166",2,0,3,0,20,0,4,0
Pennsylvania,,,,,,,,,,
,Allegheny Co.,"2,403",7,1,1,0,1,1,2,1
,Berks Co.,"1,171",1,0,7,1,3,0,4,0
,Bucks Co.,"1,200",1,0,2,1,1,0,0,0
,Dauphin Co.,"1,028",2,0,1,1,6,0,4,0
,Lackawanna Co.,"1,120",4,0,8,2,1,1,1,0
,Lehigh Co.,"1,221",0,0,0,0,0,0,0,0
,Montgomery Co./a,"2,330",19,0,/,/,7,0,5,0
,"Philadelphia Prison System/a,b","8,016",50,0,/,/,9,0,/,/
,York Co.,"1,521",0,0,13,3,9,0,13,1
South Carolina,,,,,,,,,,
,Charleston Co.,"1,145",0,0,0,0,1,0,3,0
,Greenville Co.,"1,380",1,0,9,0,1,0,2,0
South Dakota,,,,,,,,,,
,Minnehaha Co.,386,10,0,3,0,3,0,1,0
,Pennington Co.,517,0,0,1,1,0,0,0,0
Tennessee,,,,,,,,,,
,Davidson Co./c,"2,644",5,0,20,2,34,2,12,2
,Knox Co.,"1,157",1,0,5,1,8,0,5,0
,Shelby Co.,"2,300",0,0,0,0,0,0,0,0
,Shelby Co. Div. of Corr.,"2,096",8,0,8,0,11,1,18,0
Texas,,,,,,,,,,
,Bexar Co.,"3,583",9,0,20,1,11,0,10,1
,Cameron Co.,"1,245",1,0,0,0,0,0,0,0
,Dallas Co.,"5,080",40,1,23,0,1,1,20,0
,Denton Co.,"1,053",0,0,4,1,4,1,0,0
,El Paso Co.,"2,133",0,0,1,1,0,0,1,0
,Harris Co.,"9,164",82,0,49,6,30,1,35,0
,Hidalgo Co.,"1,100",0,0,8,0,0,0,0,0
,Lubbock Co.,"1,173",10,0,0,0,0,0,0,0
,"Montgomery Co./a,b","1,071",0,0,/,/,3,0,/,/
,Tarrant Co./a,"3,060",0,0,/,/,0,0,0,0
,Travis Co.,"2,468",3,0,17,4,22,0,15,0
Utah,,,,,,,,,,
,Salt Lake Co.,"1,995",5,1,19,1,3,0,0,0
Virginia,,,,,,,,,,
,Blue Ridge Reg’l Jail,"1,177",0,0,3,0,5,1,1,0
,Chesapeake City,900,0,0,1,0,3,0,2,0
,Fairfax Co.,"1,015",0,0,0,0,0,0,0,0
,Henrico Co.,"1,178",2,0,1,0,0,0,0,0
,Norfolk City,"1,360",0,0,0,0,0,0,0,0
,Rappahannock Reg’l Jail/a,"1,292",5,1,/,/,0,0,9,1
,Richmond City/a,"1,078",0,0,/,/,0,0,0,0
,"Riverside Reg’l Jail/a,b","1,445",5,0,/,/,9,0,/,/
,Southwest Virginia Reg’l Jail/a,733,20,3,/,/,7,0,3,0
,Virginia Beach,"1,526",12,1,0,0,8,0,5,0
Washington,,,,,,,,,,
,King Co./a,"1,988",7,2,/,/,3,0,12,0
,"Pierce Co./a,b","1,100",0,0,/,/,0,0,/,/
,Snohomish Co. Jail,944,3,1,3,2,5,0,4,0
West Virginia,,,,,,,,,,
,North Central Reg’l Jail,475,0,0,0,0,0,0,0,0
Wisconsin,,,,,,,,,,
,Milwaukee Co. House of Corr.,"1,546",1,0,0,0,2,0,0,0
Wyoming,,,,,,,,,,
,"Laramie Co./a,b",250,0,0,/,/,0,0,/,/
,Natrona Co./e,274,0,0,0,0,0,0,0,0
"Note: Includes the largest jails in 45 states and the District of Columbia and jail jurisdictions with an average daily population of 1,000 or more inmates. Excludes data for five states with combined prison-and-jail systems: Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Includes large jail data for Alaska though it also operates a combined prison-and-jail system. See Terms and definitions for information on types of victimization.",,,,,,,,,,
/Not reported.,,,,,,,,,,
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,,,,,,,
c/Counts of nonconsensual sexual acts were based on completed acts only.,,,,,,,,,,
d/Allegations of staff sexual harassment were not recorded.,,,,,,,,,,
e/Counts of staff sexual misconduct were based on substantiated incidents only.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2015.",,,,,,,,,,
