Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt14.csv,,,,,,,,,,
"Table 14. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2017",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics Survey of Sexual Victimization, 2017; and Mortality in Correctional Institutions, 2016",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 14. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2017",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
South Dakota,,,,,,,,,,
,Pennington Co.,619,8,2,3,0,4,1,0,0
Tennessee,,,,,,,,,,
,Davidson Co.,"1,504",4,0,8,3,25,0,6,1
,Knox Co./b,"1,332",6,0,1,1,1,0,8,0
,Shelby Co.,"2,750",0,0,0,0,0,0,0,0
,Shelby Co. Div. of Corr.,"2,127",1,0,12,0,7,0,19,0
Texas,,,,,,,,,,
,Bexar Co.,"4,270",5,0,4,1,5,0,11,0
,Cameron Co.,"1,293",0,0,0,0,0,0,0,0
,Dallas Co.,"5,237",22,0,2,0,0,0,2,0
,Denton Co.,"1,147",0,0,0,0,1,0,1,0
,El Paso Co.,"2,259",6,0,5,0,1,0,0,0
,"Galveston Co./b,c","1,125",0,0,/,/,0,0,/,/
,Harris Co.,"9,500",147,0,24,0,4,1,13,0
,Hidalgo Co.,"1,050",0,0,9,0,0,0,0,0
,Lubbock Co.,"1,170",13,3,8,0,0,0,1,0
,"Nueces Co./b,c","1,040",0,0,/,/,0,0,/,/
,"Tarrant Co./b,c","3,791",0,0,/,/,0,0,/,/
,Travis Co.,"2,511",4,1,27,5,30,0,16,0
Utah,,,,,,,,,,
,Salt Lake Co./g,"2,194",27,0,10,0,2,0,0,0
Virginia,,,,,,,,,,
,Blue Ridge Reg’l Jail,"1,073",0,0,0,0,3,1,10,1
,Fairfax Co./a,"1,029",/,/,/,/,/,/,/,/
,Hampton Roads Reg’l Jail,"1,097",2,0,2,0,2,0,0,0
,Henrico Co.,"1,422",3,3,24,5,3,1,24,5
,Norfolk City,"1,074",3,0,4,0,1,0,3,1
,Rappahannock Reg’l Jail,"1,404",5,0,4,0,1,0,0,0
,Riverside Reg’l Jail/a,"1,438",/,/,/,/,/,/,/,/
,Southwest Virginia Reg’l Jail/b,819,14,4,/,/,3,0,2,0
,Virginia Beach,"1,357",2,0,20,0,6,0,13,0
Washington,,,,,,,,,,
,King Co./f,"2,142",11,0,6,1,16,0,8,0
,"Pierce Co./b,c","1,110",0,0,/,/,0,0,/,/
West Virginia,,,,,,,,,,
,North Central Reg’l Jail,702,7,2,3,0,7,1,4,1
Wisconsin,,,,,,,,,,
,Milwaukee Co. House of Corr.,"1,295",0,0,5,0,0,0,2,0
Wyoming,,,,,,,,,,
,Natrona Co.,267,0,0,0,0,0,0,0,0
"Note: Includes the largest jails in 45 states and the District of Columbia and jail jurisdictions with an average daily population of 1,000 or more inmates. Excludes data for five states with combined prison-and-jail systems: Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Includes large jail data for Alaska though it also operates a combined prison-and-jail system. See Terms and definitions for information on types of victimization.",,,,,,,,,,
/Not reported. ,,,,,,,,,,
a/An accurate average daily population was unavailable. The population from the Mortality in Correctional Institutions was used.,,,,,,,,,,
b/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts. ,,,,,,,,,,
c/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct. ,,,,,,,,,,
d/Allegations of staff sexual harassment were not recorded.,,,,,,,,,,
e/Allegations of abusive sexual contact were not recorded.,,,,,,,,,,
f/Counts of nonconsensual sexual acts were based on completed acts only.,,,,,,,,,,
g/Only substantiated incidents of nonconsensual sexual acts were recorded.,,,,,,,,,,
"Source: Bureau of Justice Statistics Survey of Sexual Victimization, 2017; and Mortality in Correctional Institutions, 2016. ",,,,,,,,,,
