Bureau of Justice Statistics,,,,,,,,,
Filename: ssvacf1218stt21.csv,,,,,,,,,
"Table 21. Inmate-on-inmate sexual harassment reported by authorities in large local jail jurisdictions, 2013-2015",,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2013-2015",,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,
,,,,,,,,,
"Table 21. Inmate-on-inmate sexual harassment reported by authorities in large local jail jurisdictions, 2013-2015",,,,,,,,,
,,Total,,2015,,2014,,2013,
,El Paso Co.,10,3,5,1,2,2,3,0
,Jefferson Co.,4,0,1,0,2,0,1,0
District of Columbia,,15,0,12,0,3,0,0,0
Florida,,,,,,,,,
,Alachua Co.,0,0,0,0,0,0,0,0
,Bay Co.,0,0,0,0,...,...,...,...
,Brevard Co.,3,0,0,0,0,0,3,0
,Broward Co.,1,0,1,0,0,0,0,0
,Escambia Co.,1,0,1,0,0,0,0,0
,Hillsborough Co.,0,0,0,0,0,0,0,0
,Jacksonville Co.,1,0,0,0,1,0,0,0
,Lee Co.,0,0,0,0,0,0,0,0
,Leon Co.,1,0,1,0,...,...,0,0
,Manatee Co.,19,5,9,4,...,...,10,1
,Marion Co.,14,4,9,2,5,2,0,0
,Miami-Dade Co. Corr. & Rehab.,4,1,1,0,0,0,3,1
,Orange Co.,12,1,12,1,0,0,0,0
,Osceola Co.,7,4,7,4,0,0,...,...
,"Palm Beach Co./d,e",0,0,0,0,/,/,/,/
,Pasco Co.,3,0,2,0,1,0,0,0
,Pinellas Co.,71,14,27,3,14,6,30,5
,Polk Co./c,0,0,0,0,0,0,0,0
,St. Lucie Co.,4,3,3,2,0,0,1,1
,Volusia Co.,1,1,1,1,0,0,0,0
Georgia,,,,,,,,,
,Bibb Co.,0,0,...,...,0,0,0,0
,Chatham Co. Adult Det. Ctr.,14,2,8,0,4,0,2,2
,Clayton Co.,0,0,0,0,0,0,0,0
,Cobb Co.,0,0,0,0,0,0,0,0
,Dekalb Co.,3,0,0,0,0,0,3,0
,Fulton Co.,41,7,24,0,12,5,5,2
,Gwinnett Co.,0,0,0,0,0,0,0,0
,Muscogee Co. Jail,5,3,1,0,3,2,1,1
Idaho,,,,,,,,,
,Ada Co.,35,4,23,2,0,0,12,2
Illinois,,,,,,,,,
,Cook Co.,3,1,/,/,2,0,1,1
,Winnebago Co.,3,0,...,...,...,...,3,0
Indiana,,,,,,,,,
,Marion Co.,3,0,0,0,0,0,3,0
Iowa,,,,,,,,,
,Polk Co.,24,3,9,2,13,0,2,1
Kansas,,,,,,,,,
,Sedgwick Co./f,20,5,20,5,/,/,/,/
Kentucky,,,,,,,,,
,Lexington Fayette Urban Co.,2,0,2,0,0,0,0,0
,Louisville Metropolitan,12,1,1,0,5,0,6,1
Louisiana,,,,,,,,,
,Avoyelles Parish,0,0,0,0,0,0,0,0
,Bossier Parish,24,6,16,6,5,0,3,0
,Caddo Parish/c,7,6,0,0,1,1,6,5
,Calcasieu Parish,6,0,6,0,0,0,0,0
,East Baton Rouge Parish/c,6,1,1,1,5,0,0,0
,Jackson Parish Corr. Ctr.,0,0,...,...,0,0,0,0
,Jefferson Parish,1,0,...,...,...,...,1,0
,Madison Parish Det. Ctr.,0,0,...,...,0,0,0,0
,Orleans Parish,36,1,23,1,10,0,3,0
,Ouachita Parish Corr. Ctr.,9,3,4,0,5,3,0,0
,Rapides Parish,0,0,0,0,0,0,0,0
,Richwood Corr. Ctr.,0,0,...,...,0,0,...,...
,St. Tammany Parish,0,0,0,0,0,0,0,0
Maine,,,,,,,,,
,Cumberland Co.,0,0,0,0,0,0,/,/
Maryland,,,,,,,,,
,Baltimore City Det. Ctr.,1,0,1,0,0,0,0,0
,Baltimore Co.,26,8,9,2,0,0,17,6
,Prince George’s Co.,5,0,4,0,1,0,0,0
Massachusetts,,,,,,,,,
,Bristol Co.,21,2,10,1,5,0,6,1
,Essex Co.,0,0,0,0,0,0,0,0
,Hampden Co. Corr. Ctr.,22,10,7,0,9,4,6,6
,Plymouth Co.,21,6,10,3,2,0,9,3
,Suffolk Co. House of Corr.,44,6,13,3,16,3,15,0
,Worcester Co.,5,0,5,0,...,...,...,...
Michigan,,,,,,,,,
,Kent Co.,30,11,10,2,16,8,4,1
,Macomb Co.,3,0,3,0,0,0,0,0
,Oakland Co.,9,2,1,0,6,2,2,0
,Wayne Co.,0,0,0,0,0,0,0,0
Minnesota,,,,,,,,,
,Hennepin Co.,0,0,0,0,0,0,0,0
Mississippi,,,,,,,,,
,Harrison Co.,0,0,0,0,0,0,0,0
Missouri,,,,,,,,,
,St. Louis City,0,0,0,0,0,0,0,0
,St. Louis Co.,1,0,1,0,0,0,0,0
Montana,,,,,,,,,
,Yellowstone Co.,4,0,3,0,0,0,1,0
Nebraska,,,,,,,,,
,Douglas Co.,0,0,0,0,0,0,0,0
Nevada,,,,,,,,,
,Clark Co.,22,3,13,2,9,1,0,0
,Washoe Co.,12,3,9,2,2,1,1,0
New Hampshire,,,,,,,,,
,Hillsborough Co.,6,4,0,0,0,0,6,4
New Jersey,,,,,,,,,
,Camden Co.,0,0,0,0,0,0,0,0
,Essex Co.,10,2,2,0,5,0,3,2
,Hudson Co.,6,0,3,0,3,0,0,0
,Monmouth Co.,1,0,1,0,0,0,0,0
,Passaic Co.,0,0,0,0,0,0,0,0
,Union Co.,0,0,0,0,0,0,...,...
New Mexico,,,,,,,,,
,Bernalillo Co.,12,3,4,2,8,1,0,0
New York,,,,,,,,,
,Erie Co.,5,2,0,0,3,1,2,1
,Monroe Co.,0,0,0,0,0,0,0,0
,Nassau Co.,0,0,0,0,0,0,0,0
,New York City,20,0,18,0,2,0,0,0
,Suffolk Co./d,0,0,0,0,0,0,0,0
,Westchester Co./c,13,0,5,0,8,0,0,0
North Carolina,,,,,,,,,
,Mecklenburg Co.,4,0,1,0,3,0,0,0
,Wake Co./d,0,0,0,0,0,0,0,0
North Dakota,,,,,,,,,
,Cass Co.,0,0,0,0,0,0,0,0
Ohio,,,,,,,,,
,Cuyahoga Co.,61,27,26,9,23,10,12,8
,Franklin Co.,3,0,0,0,2,0,1,0
,Hamilton Co./b,0,0,0,0,0,0,0,0
Oklahoma,,,,,,,,,
,Oklahoma Co.,10,0,7,0,0,0,3,0
,Tulsa Co.,7,3,4,1,0,0,3,2
Oregon,,,,,,,,,
,Multnomah Co.,22,9,10,3,9,5,3,1
Pennsylvania,,,,,,,,,
,Allegheny Co.,11,1,11,1,0,0,0,0
,Berks Co.,15,3,3,2,10,1,2,0
,Bucks Co./d,3,0,0,0,2,0,1,0
,Dauphin Co.,14,1,8,0,6,1,...,...
,Lackawanna Co.,11,2,7,0,4,2,...,...
,Lancaster Co.,2,1,...,...,2,1,0,0
,Lehigh Co.,1,1,0,0,0,0,1,1
,Montgomery Co.,35,0,29,0,5,0,1,0
,Philadelphia Prison System,25,0,0,0,25,0,0,0
,York Co.,29,12,22,9,6,3,1,0
South Carolina,,,,,,,,,
,Alvin S. Glenn Det. Ctr.,0,0,...,...,0,0,...,...
,Charleston Co.,4,1,3,0,1,1,0,0
,Greenville Co.,4,0,1,0,3,0,0,0
South Dakota,,,,,,,,,
,Minnehaha Co.,3,0,0,0,3,0,0,0
,Pennington Co.,0,0,0,0,...,...,...,...
Tennessee,,,,,,,,,
,Davidson Co.,141,42,57,17,37,19,47,6
,Knox Co.,14,2,11,2,3,0,0,0
,Shelby Co.,31,4,0,0,27,0,4,4
,Shelby Co. Div. of Corr.,41,8,18,2,12,3,11,3
Texas,,,,,,,,,
,Bexar Co.,88,1,28,1,33,0,27,0
,Cameron Co.,2,0,0,0,2,0,0,0
,Dallas Co.,69,0,61,0,0,0,8,0
,Denton Co.,3,0,3,0,0,0,0,0
,El Paso Co.,5,3,1,0,1,0,3,3
,Harris Co.,171,30,110,20,61,10,0,0
,Hidalgo Co.,0,0,0,0,0,0,0,0
,Lubbock Co.,1,0,0,0,0,0,1,0
,Montgomery Co.,0,0,0,0,0,0,0,0
,Tarrant Co.,0,0,0,0,0,0,0,0
,Travis Co.,168,37,74,11,43,10,51,16
Utah,,,,,,,,,
,Salt Lake Co.,53,15,46,9,7,6,0,0
Virginia,,,,,,,,,
,"Blue Ridge Reg’l Jail/b,d",1,1,0,0,1,1,0,0
,Chesapeake City,15,6,12,5,3,1,0,0
,Fairfax Co.,0,0,0,0,0,0,0,0
,Hampton Roads Reg’l Jail,0,0,...,...,...,...,0,0
,Henrico Co.,5,1,2,0,0,0,3,1
,Norfolk City,0,0,0,0,0,0,0,0
,Rappahannock Reg’l Jail,65,19,14,4,37,6,14,9
,Richmond City,0,0,0,0,0,0,0,0
,Riverside Reg’l Jail,14,3,5,1,9,2,0,0
,Southwest Virginia Reg’l Jail,18,3,17,3,1,0,0,0
,Virginia Beach,10,2,8,2,2,0,0,0
Washington,,,,,,,,,
,King Co.,36,5,10,0,15,3,11,2
,Pierce Co.,0,0,0,0,/,/,/,/
,Snohomish Co. Jail,15,8,9,5,5,2,1,1
West Virginia,,,,,,,,,
,North Central Reg’l Jail,0,0,0,0,...,...,0,0
,Western Reg’l Jail,2,0,...,...,2,0,...,...
Wisconsin,,,,,,,,,
,Milwaukee Co./f,0,0,...,...,/,/,0,0
,Milwaukee Co. House of Corr.,12,0,8,0,4,0,0,0
Wyoming,,,,,,,,,
,Laramie Co.,0,0,0,0,...,...,...,...
,Natrona Co.,0,0,0,0,0,0,0,0
"Note: Includes the largest jails in 45 states and the District of Columbia and jail jurisdictions with an average daily population of 1,000 or more inmates. Excludes privately operated facilities and facilities operated and administered by local governments. Excludes data for five states with combined prison-and-jail systems: Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Includes large jail data for Alaska though it also operates a combined prison-and-jail system.",,,,,,,,,
...Not available.,,,,,,,,,
/Not reported.,,,,,,,,,
a/Allegations of inmate-on-inmate sexual harassment were not recorded in 2015.,,,,,,,,,
b/Counts of inmate-on-inmate sexual harassment in 2015 were based on substantiated incidents only.,,,,,,,,,
c/Counts of inmate-on-inmate sexual harassment in 2013 were based on substantiated incidents only.,,,,,,,,,
d/Counts of inmate-on-inmate sexual harassment in 2014 were based on substantiated incidents only.,,,,,,,,,
e/Allegations of inmate-on-inmate sexual harassment were not recorded in 2013.,,,,,,,,,
f/Allegations of inmate-on-inmate sexual harassment were not recorded in 2014.,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2013-2015.",,,,,,,,,
