Bureau of Justice Statistics,,,,,,,,,
Filename: ssvacf1218stt20.csv,,,,,,,,,
"Table 20. Inmate-on-inmate sexual harassment reported by authorities in large local jail jurisdictions, 2016-2018",,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2016-2018",,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,
,,,,,,,,,
"Table 20. Inmate-on-inmate sexual harassment reported by authorities in large local jail jurisdictions, 2016-2018",,,,,,,,,
,,Total,,2018,,2017,,2016,
,Essex Co.,5,0,1,0,1,0,3,0
,Hudson Co.,22,3,13,1,9,2,0,0
New Mexico,,,,,,,,,
,Bernalillo Co.,22,4,0,0,9,0,13,4
New York,,,,,,,,,
,Erie Co.,0,0,...,...,0,0,0,0
,Monroe Co.,2,0,1,0,1,0,...,...
,Nassau Co.,0,0,...,...,0,0,0,0
,New York City,209,5,28,1,98,0,83,4
,Suffolk Co.,1,0,...,...,0,0,1,0
,Westchester Co.,29,2,11,2,8,0,10,0
North Carolina,,,,,,,,,
,Mecklenburg Co.,97,29,21,2,36,14,40,13
,Scotland Co./d,0,0,...,...,...,...,0,0
,Wake Co.,21,3,14,1,7,2,0,0
North Dakota,,,,,,,,,
,Cass Co.,14,3,8,1,3,2,3,0
Ohio,,,,,,,,,
,Cuyahoga Co.,87,23,22,2,29,5,36,16
,Franklin Co.,0,0,0,0,/,/,0,0
,Hamilton Co./d,2,0,0,0,2,0,0,0
Oklahoma,,,,,,,,,
,Oklahoma Co.,13,0,...,...,11,0,2,0
,Tulsa Co.,22,4,5,2,11,1,6,1
Oregon,,,,,,,,,
,Multnomah Co.,20,2,11,1,0,0,9,1
Pennsylvania,,,,,,,,,
,Allegheny Co.,4,1,4,1,0,0,0,0
,Berks Co.,16,5,10,4,...,...,6,1
,Bucks Co.,57,14,18,4,24,6,15,4
,Dauphin Co.,28,7,10,4,8,2,10,1
,Lackawanna Co.,11,1,...,...,...,...,11,1
,Lehigh Co.,9,1,5,1,4,/,0,0
,Montgomery Co.,80,0,28,0,24,0,28,0
,Philadelphia Prison System,49,1,12,0,37,1,0,0
,York Co.,51,19,28,10,9,5,14,4
South Carolina,,,,,,,,,
,Charleston Co.,30,6,12,3,13,3,5,0
,Greenville Co.,13,4,/,/,0,0,13,4
South Dakota,,,,,,,,,
,Pennington Co.,26,6,13,3,4,0,9,3
Tennessee,,,,,,,,,
,Davidson Co.,100,23,21,2,35,8,44,13
,Knox Co.,39,6,7,1,22,3,10,2
,Shelby Co.,107,2,0,0,0,0,107,2
,Shelby Co. Div. of Corr.,66,5,23,1,14,0,29,4
Texas,,,,,,,,,
,Bexar Co.,181,4,75,2,87,2,19,0
,Cameron Co.,8,0,5,0,0,0,3,0
,Collin Co./c,0,0,0,0,...,...,...,...
,Dallas Co.,29,0,1,0,8,0,20,0
,Denton Co.,15,0,0,0,11,0,4,0
,El Paso Co.,5,0,1,0,4,0,0,0
,Galveston Co.,0,0,0,0,0,0,...,...
,Harris Co.,271,7,77,0,75,0,119,7
,Hidalgo Co.,0,0,0,0,0,0,0,0
,Lubbock Co.,17,1,2,0,10,1,5,0
,Montgomery Co.,0,0,...,...,...,...,0,0
,Nueces Co.,0,0,...,...,0,0,...,...
,"Tarrant Co./a,b",12,1,12,1,/,/,/,/
,Travis Co.,196,38,34,4,54,10,108,24
Utah,,,,,,,,,
,Salt Lake Co.,27,6,0,0,18,0,9,6
Virginia,,,,,,,,,
,Blue Ridge Reg’l Jail/d,0,0,0,0,0,0,0,0
,Chesapeake City,12,7,12,7,...,...,...,...
,Fairfax Co.,0,0,0,0,/,/,0,0
,Hampton Roads Reg’l Jail,4,0,0,0,2,0,2,0
,Henrico Co.,237,34,80,11,118,17,39,6
,Norfolk City,11,0,6,0,5,0,0,0
,Rappahannock Reg’l Jail,8,1,4,0,1,0,3,1
,Richmond City,0,0,...,...,...,...,0,0
,Riverside Reg’l Jail,11,3,3,1,/,/,8,2
,Southwest Virginia Reg’l Jail,34,0,...,...,16,0,18,0
,Virginia Beach,71,22,21,5,24,9,26,8
Washington,,,,,,,,,
,King Co.,26,2,19,2,5,0,2,0
,Pierce Co.,5,0,0,0,0,0,5,0
West Virginia,,,,,,,,,
,North Central Reg’l Jail,6,0,0,0,3,0,3,0
Wisconsin,,,,,,,,,
,Milwaukee Co. House of Corr.,47,4,19,2,20,2,8,0
Wyoming,,,,,,,,,
,Natrona Co.,0,0,/,/,0,0,0,0
"Note: Includes the largest jails in 45 states and the District of Columbia and jail jurisdictions with an average daily population of 1,000 or more inmates. Excludes data for five states with combined prison-and-jail systems: Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Includes large jail data for Alaska though it also operates a combined prison-and-jail system.",,,,,,,,,
...Not available.,,,,,,,,,
/Not reported.,,,,,,,,,
a/Allegations of inmate-on-inmate sexual harassment were not recorded in 2016. ,,,,,,,,,
b/Allegations of inmate-on-inmate sexual harassment were not recorded in 2017. ,,,,,,,,,
c/Allegations of inmate-on-inmate sexual harassment were not recorded in 2018. ,,,,,,,,,
d/Counts of inmate-on-inmate sexual harassment were based on substantiated incidents only. ,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2016-2018. ",,,,,,,,,
