Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt15.csv,,,,,,,,,,
"Table 15. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2016",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics Survey of Sexual Victimization, 2016",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 15. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2016",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,York Co./b,"2,327",7,3,/,/,3,1,5,0
South Carolina,,,,,,,,,,
,Charleston Co.,"1,145",0,0,0,0,0,0,3,0
,Greenville Co.,"1,380",1,0,8,2,10,0,2,0
South Dakota,,,,,,,,,,
,Pennington Co.,537,0,0,7,2,1,1,0,0
Tennessee,,,,,,,,,,
,Davidson Co.,"2,447",6,0,12,0,31,1,24,1
,Knox Co./c,"1,237",0,0,/,/,3,0,4,0
,Shelby Co.,"2,674",7,0,25,0,23,0,66,0
,Shelby Co. Div. of Corr.,"2,004",5,1,4,0,10,0,31,0
Texas,,,,,,,,,,
,Bexar Co.,"3,575",0,0,8,0,0,0,0,0
,Cameron Co.,"1,282",2,0,0,0,2,0,0,0
,Dallas Co.,184,31,0,51,0,10,0,0,0
,Denton Co.,"1,062",3,0,2,0,6,0,1,0
,El Paso Co.,"2,137",0,0,0,0,0,0,0,0
,Harris Co.,"9,139",79,0,33,1,22,0,52,2
,Hidalgo Co.,"1,090",0,0,7,0,1,1,0,0
,Lubbock Co./b,"1,116",5,0,/,/,2,0,1,0
,Montgomery Co.,919,0,0,1,0,1,0,0,0
,"Tarrant Co./a,b","3,263",2,0,/,/,/,/,/,/
,Travis Co.,"2,326",4,0,32,5,27,0,13,0
Utah,,,,,,,,,,
,Salt Lake Co.,"1,934",11,0,19,7,6,0,2,0
Virginia,,,,,,,,,,
,Blue Ridge Reg’l Jail,"1,106",4,1,1,0,0,0,3,0
,Fairfax Co.,"1,090",1,0,0,0,0,0,0,0
,Hampton Roads Reg’l Jail,"1,079",6,0,6,1,0,0,0,0
,Henrico Co.,"1,234",4,0,14,3,6,1,8,0
,Norfolk City,"1,116",3,1,0,0,0,0,2,0
,Rappahannock Reg’l Jail/b,"1,316",4,0,/,/,2,1,1,0
,"Richmond City/a,b","1,100",0,0,/,/,0,0,/,/
,"Riverside Reg’l Jail/a,b","1,438",3,0,/,/,6,0,/,/
,Southwest Virginia Reg’l Jail/b,803,20,2,/,/,12,0,4,0
,Virginia Beach,"1,380",7,1,14,0,9,0,2,1
Washington,,,,,,,,,,
,"King Co./b,c","1,906",8,0,/,/,10,0,2,0
,"Pierce Co./a,b","1,143",0,0,/,/,1,0,/,/
West Virginia,,,,,,,,,,
,North Central Reg’l Jail,17,2,1,1,0,5,0,5,2
Wisconsin,,,,,,,,,,
,Milwaukee Co. House of Corr.,"1,453",0,0,0,0,0,0,0,0
Wyoming,,,,,,,,,,
,"Natrona Co./a,b",264,0,0,/,/,0,0,/,/
"Note: Includes the largest jails in 45 states and the District of Columbia and jail jurisdictions with an average daily population of 1,000 or more inmates. Excludes data for five states with combined prison-and-jail systems: Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Includes large jail data for Alaska though it also operates a combined prison-and-jail system. See Terms and definitions for information on types of victimization.",,,,,,,,,,
/Not reported. ,,,,,,,,,,
a/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct. ,,,,,,,,,,
b/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts. ,,,,,,,,,,
c/Allegations of abusive sexual contact were not recorded.,,,,,,,,,,
d/Only substantiated incidents of nonconsensual sexual acts were recorded.,,,,,,,,,,
"Source: Bureau of Justice Statistics Survey of Sexual Victimization, 2016. ",,,,,,,,,,
